Date_time,Time,V_input,TC,SENS_X3,SENS_X1,X3,Y3,X1_ref,Y1_ref
2021-06-11 12:45:07.300472,1200.0116,0.1,13,11,24,2.20166e-006,-1.38768e-007,0.00401309,-7.62945e-006
2021-06-11 13:05:07.377113,2400.0883,0.3,13,12,23,1.02819e-005,7.75795e-007,0.0120431,-1.52589e-005
2021-06-11 13:25:07.453753,3600.1649,0.5,13,14,23,2.85247e-005,3.81473e-006,0.0189096,-2.28883e-005
2021-06-11 13:45:07.547395,4800.2586,0.7,13,15,23,-5.44938e-005,9.23878e-006,0.0267831,-3.05178e-005
2021-06-11 14:05:07.630035,6000.3412,0.9,13,17,23,-0.000874642,9.52487e-005,0.0341952,-6.8665e-005
2021-06-11 14:25:07.736678,7200.4478,1.1,13,19,23,-0.000608448,0.000113488,0.0427897,-9.15532e-005
2021-06-11 14:45:07.817318,8400.5285,1.3,13,19,23,-0.000523809,8.20165e-005,0.0531619,-6.48503e-005
2021-06-11 15:05:07.895959,9600.6071,1.5,13,19,23,-0.000589851,0.000102282,0.0621035,-6.8665e-005
