Date_time Time TC SENS Lockin1f Lockin2f X3 Y3 X3_ref Y3_ref
2020-03-10 10:29:20.883249190.784912109375 11 16 10.0 9.9998 1.77921e-05 5.36445e-07 3.7879e-05 8.1957e-06
2020-03-10 10:32:31.098129380.9987919330597 11 16 13.033 13.0334 1.79113e-05 4.47037e-07 3.81472e-05 6.34792e-06
2020-03-10 10:35:41.319009571.2206718921661 11 16 16.986 16.9854 1.80007e-05 4.76841e-07 3.84452e-05 4.82801e-06
2020-03-10 10:38:51.537889761.4385516643524 11 16 22.13 22.13 1.81199e-05 4.47037e-07 3.8475e-05 3.7253e-06
2020-03-10 10:42:01.764769951.6654319763184 11 16 28.85 28.8496 1.81199e-05 4.47037e-07 3.85942e-05 2.62262e-06
2020-03-10 10:45:11.9866501141.8883123397827 11 16 37.6 37.6015 1.83285e-05 5.66248e-07 3.85346e-05 1.81795e-06
2020-03-10 10:48:22.2055291332.108192205429 11 16 49.01 49.0093 1.83285e-05 5.06643e-07 3.85048e-05 1.49012e-06
2020-03-10 10:51:32.4264091522.3280720710754 11 16 63.87 63.8695 1.8418e-05 4.47037e-07 3.83856e-05 8.04666e-07
2020-03-10 10:54:42.6472891712.5489521026611 11 16 83.25 83.2481 1.8418e-05 3.27827e-07 3.91307e-05 4.47037e-07
2020-03-10 10:57:47.8018801897.7035422325134 11 16 108.5 108.499 1.84478e-05 7.74864e-07 3.88327e-05 -8.94073e-07
2020-03-10 11:00:58.0237602087.92542219162 11 16 141.42 141.419 1.86266e-05 4.76841e-07 3.88923e-05 -5.9605e-07
2020-03-10 11:04:03.1673492273.069011926651 11 16 184.31 184.307 1.83881e-05 7.74864e-07 3.92201e-05 -1.31131e-06
2020-03-10 11:07:08.3179392458.2196021080017 11 16 240.2 240.2 1.86862e-05 7.15259e-07 3.88029e-05 -8.64271e-07
2020-03-10 11:10:13.4635292643.3651916980743 11 16 313.0 312.998 1.90736e-05 5.66248e-07 3.8177e-05 -1.34111e-06
2020-03-10 11:13:23.6804092833.58207154274 11 16 408.0 407.996 1.9014e-05 4.76841e-07 3.88029e-05 -1.04309e-06
2020-03-10 11:16:28.8309993018.732661485672 11 16 531.8 531.795 1.9163e-05 4.76841e-07 3.83856e-05 -1.2517e-06
2020-03-10 11:19:33.9705883203.8732509613037 11 16 693.1 693.1 1.9163e-05 3.27827e-07 3.86538e-05 -1.10269e-06
2020-03-10 11:22:39.1111783389.0128405094147 11 16 903.3 903.301 1.94312e-05 5.06643e-07 3.85346e-05 -1.60933e-06
2020-03-10 11:25:44.2577673574.1584300994873 11 16 1177.4 1177.42 1.95802e-05 2.98025e-07 3.86538e-05 -1.75834e-06
2020-03-10 11:28:49.3963573759.2980196475983 11 16 1534.5 1534.51 1.97293e-05 0.0 3.8624e-05 -1.87755e-06
