Date time Time V_input TC SENS_X3 SENS_X1 X3 Y3 X1_ref Y1_ref
2020-08-11 13:13:04.642993 720.0112 0.5 14 12 22 0 0 1.14442e-005 0
2020-08-11 13:25:04.709178 1440.0774 1.1 14 12 22 1.21073e-008 0 2.47956e-005 0
2020-08-11 13:37:04.776364 2160.1446 1.3 14 12 22 1.58326e-008 0 2.86103e-005 0
2020-08-11 13:49:04.845549 2880.2137 1.5 14 12 22 2.04892e-008 -2.79398e-009 3.43325e-005 0
2020-08-11 14:01:04.923735 3600.2919 1.7 14 12 22 2.60771e-008 -2.79398e-009 3.81472e-005 0
2020-08-11 14:13:04.998921 4320.3671 2.0 14 12 22 3.25965e-008 -4.65664e-009 4.57766e-005 0
2020-08-11 14:25:05.075107 5040.4433 2.5 14 12 22 3.81845e-008 -5.58796e-009 5.53133e-005 0
2020-08-11 14:37:05.152293 5760.5205 3.0 14 12 22 4.37724e-008 -1.21073e-008 6.48503e-005 0
2020-08-11 14:49:05.224479 6480.5927 3.5 14 12 22 4.00471e-008 -1.76952e-008 7.62944e-005 0
