Date_time,Time,V_input,TC,SENS_X3,SENS_X1,X3,Y3,X1_ref,Y1_ref
2021-05-10 13:18:14.838582,900.0125,0.1,13,15,24,0,0,0.00600436,-7.62945e-006
2021-05-10 13:33:14.930065,1800.104,0.3,13,15,24,6.33303e-007,0,0.0180207,-2.28883e-005
2021-05-10 13:48:15.007546,2700.1814,0.5,13,15,24,1.80305e-006,0,0.0300294,-3.81472e-005
2021-05-10 14:03:15.086028,3600.2599,0.7,13,15,24,2.08618e-006,4.47037e-008,0.0419466,-5.3406e-005
2021-05-10 14:18:15.161509,4500.3354,0.9,13,15,24,2.29479e-006,8.19568e-008,0.0539477,-6.10356e-005
2021-05-10 14:33:15.239991,5400.4139,1.1,13,15,24,2.37675e-006,1.41562e-007,0.0659795,-8.39238e-005
2021-05-10 14:48:15.320472,6300.4944,1.3,13,15,24,2.42145e-006,2.45871e-007,0.07795,-9.91826e-005
2021-05-10 15:03:15.395954,7200.5698,1.5,13,15,24,2.50341e-006,3.72531e-007,0.0899968,-0.000106812
