Date time Time TC SENS Lockin1f Lockin2f X3 Y3 X3_ref Y3_ref
2020-04-08 13:36:28.182471 310.7907762527466 11 16 10.0 9.9998 9.14937e-06 3.99354e-06 5.36444e-05 1.36793e-05
2020-04-08 13:41:38.419215 621.0275206565857 11 16 13.033 13.0329 9.77522e-06 4.11275e-06 5.38828e-05 9.80502e-06
2020-04-08 13:46:48.646959 931.254264831543 11 16 16.986 16.9859 1.05501e-05 4.17235e-06 5.37338e-05 6.79496e-06
2020-04-08 13:51:58.862702 1241.4710080623627 11 16 22.13 22.13 1.11759e-05 4.17235e-06 5.34954e-05 4.26176e-06
2020-04-08 13:57:09.082446 1551.6917514801025 11 16 28.85 28.8486 1.1921e-05 3.96374e-06 5.2959e-05 2.62262e-06
2020-04-08 14:02:19.319191 1861.9274961948395 11 16 37.6 37.6005 1.27256e-05 3.90413e-06 5.24225e-05 1.01329e-06
2020-04-08 14:07:29.538934 2172.1472396850586 11 16 49.01 49.0093 1.32919e-05 3.99354e-06 5.18861e-05 -8.94074e-08
2020-04-08 14:12:39.757678 2482.3659830093384 11 16 63.87 63.8714 1.40071e-05 3.90413e-06 5.12006e-05 -9.23876e-07
2020-04-08 14:17:49.976421 2792.5847265720367 11 16 83.25 83.25 1.45138e-05 3.75511e-06 5.14092e-05 -1.63914e-06
2020-04-08 14:23:00.193164 3102.802469968796 11 16 108.5 108.499 1.51992e-05 3.7253e-06 5.04854e-05 -3.03985e-06
2020-04-08 14:28:10.411908 3413.0202136039734 11 16 141.42 141.419 1.5855e-05 3.6657e-06 4.98595e-05 -3.27827e-06
2020-04-08 14:33:20.629651 3723.2379570007324 11 16 184.31 184.307 1.65404e-05 3.57629e-06 4.93529e-05 -3.27827e-06
2020-04-08 14:38:25.771105 4028.3794100284576 11 16 240.2 240.206 1.66e-05 3.93394e-06 4.90251e-05 -4.52998e-06
2020-04-08 14:43:35.984848 4338.5931532382965 11 16 313.0 312.998 1.77027e-05 3.36768e-06 4.83694e-05 -3.54649e-06
2020-04-08 14:48:46.198591 4648.806896448135 11 16 408.0 407.996 1.83583e-05 3.33787e-06 4.78032e-05 -3.7253e-06
2020-04-08 14:53:56.422335 4959.030640363693 11 16 531.8 531.795 1.89842e-05 3.27827e-06 4.73859e-05 -3.7253e-06
2020-04-08 14:59:01.590789 5264.198095083237 11 16 693.1 693.1 1.92822e-05 3.24847e-06 4.66409e-05 -3.6061e-06
2020-04-08 15:04:11.812533 5574.419838666916 11 16 903.3 903.301 2.03551e-05 2.59282e-06 4.66409e-05 -3.84453e-06
2020-04-08 15:09:22.049278 5884.656583070755 11 16 1177.4 1177.42 2.0981e-05 2.14578e-06 4.6313e-05 -3.93394e-06
2020-04-08 15:14:32.264021 6194.872326374054 11 16 1534.5 1534.51 2.15472e-05 1.54973e-06 4.61342e-05 -4.29156e-06
