Date_time Time TC SENS Lockin1f Lockin2f X3 Y3 X3_ref Y3_ref
2021-03-10 16:05:57.387323 1805.7362821102142 15 15 0.01 0.015 -3.17396e-06 -1.25543e-05 -1.11014e-06 -7.67413e-07
2021-03-10 16:36:02.593575 3610.9425342082977 15 15 0.0158 0.0099 -6.89927e-06 -1.91332e-05 7.00358e-07 -5.21544e-07
2021-03-10 17:06:07.792826 5416.142785549164 15 15 0.0251 0.0157 -1.42456e-05 -2.62783e-05 -5.73698e-07 -2.13833e-06
2021-03-10 17:37:13.073514 7281.4224734306335 15 15 0.0398 0.0397 -2.74928e-05 -3.01601e-05 -1.27406e-06 -2.30224e-06
2021-03-10 18:07:58.318056 9126.66701555252 15 15 0.0631 0.0631 -4.34669e-05 -2.65465e-05 -1.53483e-06 -8.94073e-07
2021-03-10 18:28:24.048164 10352.398123264313 13 14 0.1 0.0999 -5.59168e-05 -1.47373e-05 -1.93344e-06 4.58213e-07
2021-03-10 18:48:49.263242 11577.611201524734 13 14 0.1585 0.1585 -5.84053e-05 1.32621e-06 -9.83484e-07 2.63007e-06
2021-03-10 19:09:14.488321 12802.837280273438 13 14 0.2512 0.2512 -5.26945e-05 1.55942e-05 1.04309e-06 1.64659e-06
2021-03-10 19:29:39.701399 14028.05235862732 13 14 0.3981 0.398 -4.10529e-05 2.55109e-05 2.38793e-06 1.34856e-06
2021-03-10 19:50:04.913477 15253.263436794281 13 14 0.631 0.631 -2.63044e-05 2.82341e-05 2.65615e-06 5.36445e-07
2021-03-10 20:05:10.629281 16158.978240728378 12 14 1.0 0.631 -1.39066e-05 2.46653e-05 2.62634e-06 2.60771e-08
2021-03-10 20:20:15.838056 17064.182015180588 12 14 1.5849 1.0 -6.13186e-06 1.84552e-05 2.42145e-06 -3.6508e-07
2021-03-10 20:35:21.038831 17969.388790369034 12 14 2.511 1.5849 -2.11225e-06 1.27107e-05 2.14951e-06 -5.21544e-07
2021-03-10 20:50:31.261893 18879.611852169037 12 14 3.981 3.9809 -3.6508e-07 8.42294e-06 1.72109e-06 -4.95467e-07
2021-03-10 21:05:41.484954 19789.83491373062 12 14 6.309 6.309 4.39586e-07 5.50601e-06 1.4566e-06 -4.13509e-07
2021-03-10 21:15:52.216886 20400.56684565544 11 14 10.0 10.0 7.97216e-07 3.67688e-06 1.27033e-06 -2.04892e-07
2021-03-10 21:26:02.444789 21010.79574894905 11 14 15.848 15.8477 9.49953e-07 2.49968e-06 9.72308e-07 1.8552e-06
2021-03-10 21:36:12.660692 21621.009650945663 11 14 25.11 25.1093 1.43797e-06 1.8403e-06 1.43424e-06 1.42307e-06
2021-03-10 21:46:22.876594 22231.226553440094 11 14 39.81 39.8111 1.68384e-06 9.90934e-07 1.64286e-06 7.07809e-07
2021-03-10 21:56:33.107497 22841.457456588745 11 14 63.09 63.0894 1.50502e-06 3.05476e-07 1.44542e-06 1.00583e-07
