X3(V),Y3(V),f(Hz)
-1.6116991329726244e-06,4.1170722490410524e-09,0.0001
-1.610436003350216e-06,4.528936321432896e-08,0.001100900900900901
-1.6070770026845983e-06,8.628453489549284e-08,0.0021018018018018015
-1.6016482940063334e-06,1.2694389966692908e-07,0.0031027027027027026
-1.5941918157671166e-06,1.671130993190797e-07,0.004103603603603604
-1.584764479049194e-06,2.066440171036814e-07,0.005104504504504504
-1.5734370971691917e-06,2.453965248885214e-07,0.006105405405405406
-1.5602930846632372e-06,2.8324002424107984e-07,0.0071063063063063064
-1.5454269692147207e-06,3.2005474918741994e-07,0.008107207207207206
-1.5289427643778815e-06,3.5573280830144245e-07,0.009108108108108108
-1.5109522528655955e-06,3.901789540622393e-07,0.010109009009009007
-1.4915732297793764e-06,4.2331107748629616e-07,0.011109909909909909
-1.4709277526800294e-06,4.5506043537413386e-07,0.01211081081081081
-1.4491404411586542e-06,4.853716256840339e-07,0.01311171171171171
-1.4263368629757588e-06,5.142023332553351e-07,0.014112612612612612
-1.4026420373329139e-06,5.415228731749852e-07,0.015113513513513512
-1.3781790788669729e-06,5.673155624618402e-07,0.016114414414414413
-1.353067998918401e-06,5.915739524910909e-07,0.017115315315315315
-1.3274246738728567e-06,6.143019548418569e-07,0.018116216216216216
-1.3013599841870148e-06,6.355128922333775e-07,0.019117117117117114
-1.2749791222855921e-06,6.552285041663564e-07,0.020118018018018016
-1.2483810629792697e-06,6.734779340674023e-07,0.021118918918918917
-1.2216581864547265e-06,6.902967214022759e-07,0.02211981981981982
-1.19489604122059e-06,7.05725818613281e-07,0.02312072072072072
-1.1681732326019952e-06,7.198106490519127e-07,0.02412162162162162
-1.1415614213731434e-06,7.32600218487096e-07,0.02512252252252252
-1.1151254167922469e-06,7.441462894003133e-07,0.02612342342342342
-1.0889233485370367e-06,7.545026242223041e-07,0.027124324324324323
-1.0630069027112128e-06,7.637243009781657e-07,0.028125225225225224
-1.0374216080884536e-06,7.718671025156121e-07,0.029126126126126126
-1.0122071599772984e-06,7.789869785979725e-07,0.030127027027027024
-9.873977704373865e-07,7.851395786340791e-07,0.031127927927927925
-9.630225349802578e-07,7.903798516633269e-07,0.03212882882882883
-9.39105807286152e-07,7.947617093793313e-07,0.03312972972972973
-9.156675748162673e-07,7.983377474187043e-07,0.03413063063063063
-8.927238294647396e-07,8.011590198200893e-07,0.035131531531531535
-8.702869285542868e-07,8.032748614312233e-07,0.036132432432432436
-8.483659425213243e-07,8.047327530695326e-07,0.03713333333333334
-8.269669865551275e-07,8.055782243893211e-07,0.03813423423423423
-8.060935342516695e-07,8.0585478964493e-07,0.039135135135135134
-7.857467120207784e-07,8.056039118376946e-07,0.040136036036036035
-7.659255735526846e-07,8.048649910728123e-07,0.04113693693693694
-7.466273541163159e-07,8.036753733121997e-07,0.04213783783783784
-7.278477048371622e-07,8.020703760766145e-07,0.04313873873873874
-7.095809073979145e-07,8.000833280136063e-07,0.04413963963963964
-6.918200698309355e-07,7.9774561959895e-07,0.04514054054054054
-6.745573042380171e-07,7.950867625721974e-07,0.046141441441441444
-6.577838873891978e-07,7.921344560179407e-07,0.047142342342342346
-6.414904052271297e-07,7.889146572909574e-07,0.04814324324324325
-6.25666882344247e-07,7.854516562445254e-07,0.04914414414414414
-6.103028975134242e-07,7.817681514567257e-07,0.05014504504504504
-5.953876863447525e-07,7.77885327360051e-07,0.051145945945945945
-5.809102321164262e-07,7.738229313662294e-07,0.052146846846846846
-5.668593457906977e-07,7.695993502422523e-07,0.05314774774774775
-5.532237361799226e-07,7.652316851368369e-07,0.05414864864864865
-5.399920711757158e-07,7.60735824780685e-07,0.05514954954954955
-5.271530308985099e-07,7.561265164907203e-07,0.05615045045045045
-5.146953535672197e-07,7.514174346997579e-07,0.057151351351351354
-5.026078748306949e-07,7.466212468104534e-07,0.058152252252252255
-4.908795612453696e-07,7.417496762375308e-07,0.05915315315315315
-4.794995385277834e-07,7.368135625566472e-07,0.06015405405405405
-4.6845711515712156e-07,7.318229187232126e-07,0.06115495495495495
-4.5774180185199496e-07,7.267869853612801e-07,0.062155855855855854
-4.473433273976684e-07,7.217142821523725e-07,0.06315675675675676
-4.3725165125497056e-07,7.16612656377818e-07,0.06415765765765766
-4.274569733402779e-07,7.11489328686726e-07,0.06515855855855855
-4.179497413272342e-07,7.06350936175925e-07,0.06615945945945946
-4.087206557851797e-07,7.012035728786866e-07,0.06716036036036035
-3.997606734365312e-07,6.960528277664903e-07,0.06816126126126126
-3.910610087854329e-07,6.909038203729496e-07,0.06916216216216216
-3.8261313434273404e-07,6.857612341517709e-07,0.07016306306306307
-3.7440877964760443e-07,6.806293476816582e-07,0.07116396396396396
-3.664399292636603e-07,6.755120638306932e-07,0.07216486486486487
-3.5869881990723254e-07,6.704129369912679e-07,0.07316576576576576
-3.5117793684713457e-07,6.653351984942684e-07,0.07416666666666667
-3.438700096988755e-07,6.602817803082005e-07,0.07516756756756757
-3.3676800772151827e-07,6.552553371254028e-07,0.07616846846846846
-3.298651347121768e-07,6.502582669335954e-07,0.07716936936936937
-3.2315482358134254e-07,6.452927301668668e-07,0.07817027027027026
-3.166307306816805e-07,6.40360667525888e-07,0.07917117117117117
-3.1028672995354824e-07,6.354638165527694e-07,0.08017207207207207
-3.041169069421271e-07,6.306037270415804e-07,0.08117297297297298
-2.981155527336368e-07,6.257817753611915e-07,0.08217387387387387
-2.922771578515082e-07,6.209991777628162e-07,0.08317477477477478
-2.8659640614757667e-07,6.162570027404655e-07,0.08417567567567567
