Date_time Time TC SENS Lockin1f Lockin2f X2 Y2 X1 Y1
2020-03-03 11:28:16.054154 75.96934533119202 11 26 10.0 10.0 0.000230164 0.00020212 0.46155 0.00769046
2020-03-03 11:29:31.333460 151.24865078926086 11 26 11.931 11.9309 0.000219823 0.00017348 0.461977 0.00646976
2020-03-03 11:30:46.600765 226.5159559249878 11 26 14.236 14.2355 0.000208766 0.000146479 0.46216 0.00555423
2020-03-03 11:32:01.867070 301.7822608947754 11 26 16.986 16.9859 0.000196905 0.000121087 0.462282 0.00469974
2020-03-03 11:33:12.075086 371.9902765750885 11 26 20.26 20.2599 0.000184179 9.73647e-05 0.462282 0.00390628
2020-03-03 11:34:22.274101 442.1882915496826 11 26 24.18 24.1795 0.000170709 7.53705e-05 0.462343 0.00335695
2020-03-03 11:35:32.478116 512.3933072090149 11 26 28.85 28.8486 0.000156463 5.54028e-05 0.462343 0.0027466
2020-03-03 11:36:42.688132 582.6053230762482 11 26 34.42 34.42 0.000141741 3.74916e-05 0.462343 0.00231935
2020-03-03 11:37:52.895148 652.8113384246826 11 26 41.07 41.069 0.000126571 2.17856e-05 0.462343 0.00195314
2020-03-03 11:39:03.099163 723.0153541564941 11 26 49.01 49.0112 0.000111193 8.46392e-06 0.462343 0.00152589
2020-03-03 11:40:13.314179 793.2273700237274 11 26 58.48 58.4793 9.59043e-05 -2.53321e-06 0.462343 0.00115968
2020-03-03 11:41:23.575198 863.4903886318207 11 26 69.77 69.7708 8.09436e-05 -1.11461e-05 0.462282 0.000793461
2020-03-03 11:42:33.788214 933.702404499054 11 26 83.25 83.2481 6.65789e-05 -1.74047e-05 0.462282 0.000488285
2020-03-03 11:43:44.003230 1003.9134204387665 11 26 99.33 99.329 5.30782e-05 -2.14876e-05 0.462282 0.000122071
2020-03-03 11:44:54.208245 1074.1224360466003 11 26 118.52 118.518 4.07698e-05 -2.34545e-05 0.462282 -0.00262453
2020-03-03 11:46:04.418261 1144.3324520587921 11 26 141.42 141.422 2.9862e-05 -2.3693e-05 0.462221 -0.0027466
2020-03-03 11:47:14.634277 1214.5484681129456 11 26 168.73 168.732 2.05041e-05 -2.24413e-05 0.462221 -0.00280763
2020-03-03 11:48:29.939585 1289.8527750968933 11 26 201.3 201.302 1.28747e-05 -2.01167e-05 0.462221 -0.0029297
2020-03-03 11:49:40.148600 1360.060791015625 11 26 240.2 240.2 6.91417e-06 -1.70768e-05 0.46216 -0.00305177
2020-03-03 11:50:50.363616 1430.2768070697784 11 26 286.6 286.602 2.62262e-06 -1.37389e-05 0.46216 -0.00311281
2020-03-03 11:52:00.576632 1500.4898228645325 11 26 341.9 341.904 -2.3842e-07 -1.03713e-05 0.46216 -0.00317384
2020-03-03 11:53:10.808649 1570.7238402366638 11 26 408.0 407.996 -1.87755e-06 -7.3016e-06 0.46216 -0.00323488
2020-03-03 11:54:21.018665 1640.9328558444977 11 26 486.8 486.797 -2.53321e-06 -4.7386e-06 0.46216 -0.00323488
2020-03-03 11:55:31.232681 1711.1468720436096 11 26 580.9 580.91 -2.53321e-06 -2.74183e-06 0.462099 -0.00323488
2020-03-03 11:56:41.446697 1781.3598878383636 11 26 693.1 693.1 -2.17558e-06 -1.34111e-06 0.46216 -0.00329591
2020-03-03 11:57:51.697715 1851.612906217575 11 26 827.0 826.988 -1.63914e-06 -4.17234e-07 0.462099 -0.00335695
2020-03-03 11:59:01.905731 1921.818921804428 11 26 986.7 986.708 -1.07289e-06 5.96051e-08 0.462099 -0.00335695
2020-03-03 12:00:12.117747 1992.0319378376007 11 26 1177.4 1177.42 -6.25852e-07 2.3842e-07 0.462099 -0.00347902
2020-03-03 12:01:22.333763 2062.246953725815 11 26 1404.8 1404.82 -2.98025e-07 2.68223e-07 0.462099 -0.00354005
2020-03-03 12:02:32.646785 2132.5559751987457 11 26 1676.2 1676.19 -1.1921e-07 2.08617e-07 0.462099 -0.00354005
