Date_time Time TC SENS Lockin1f Lockin2f X3 Y3 X3_ref Y3_ref
2021-06-23 13:09:19.267001 1926.090166091919 15 21 0.01 0.0091 -0.000871662 2.3842e-05 0.000167848 -4.7684e-06
2021-06-23 13:40:44.547833 3811.369998216629 15 21 0.0158 0.0157 -0.000881199 3.52862e-05 0.000163079 -6.67575e-06
2021-06-23 14:11:49.813520 5676.63668513298 15 21 0.0251 0.025 -0.00087643 5.14986e-05 0.000163079 -1.04905e-05
2021-06-23 14:43:15.088351 7561.912516593933 15 21 0.0398 0.0397 -0.000874523 8.10628e-05 0.000161172 -1.62126e-05
2021-06-23 15:14:00.330893 9407.15405869484 15 21 0.0631 0.0631 -0.000862125 0.00012684 0.000159265 -2.28883e-05
2021-06-23 15:34:46.021143 10652.844308137894 14 21 0.1 0.0999 -0.000836376 0.00019455 0.000153542 -3.33788e-05
2021-06-23 15:55:11.282224 11878.105388879776 14 21 0.1585 0.1585 -0.000774387 0.000286104 0.000143052 -4.67303e-05
2021-06-23 16:15:36.506302 13103.329467773438 14 21 0.2512 0.2512 -0.000654224 0.000380518 0.000124932 -6.10356e-05
2021-06-23 16:36:01.727381 14328.551546573639 14 21 0.3981 0.398 -0.000473978 0.000432016 9.72752e-05 -7.05724e-05
2021-06-23 16:56:26.948460 15553.771625041962 14 21 0.631 0.631 -0.000286104 0.000403406 6.67577e-05 -6.77113e-05
2021-06-23 17:16:32.597419 16759.418584108353 13 21 1.0 0.631 -0.000146867 0.000318529 4.29156e-05 -5.6267e-05
2021-06-23 17:36:37.806353 17964.629518270493 13 21 1.5849 1.0 -6.77113e-05 0.000226022 2.86103e-05 -4.29156e-05
2021-06-23 17:56:43.037288 19169.860453367233 13 21 2.511 1.5849 -2.9564e-05 0.000151635 1.90736e-05 -3.05178e-05
2021-06-23 18:16:53.255509 20380.07767391205 13 21 3.981 3.9809 -1.14442e-05 9.91826e-05 1.43052e-05 -2.19346e-05
2021-06-23 18:37:03.502731 21590.325896263123 13 21 6.309 6.309 -2.86104e-06 6.2943e-05 1.14442e-05 -1.52589e-05
2021-06-23 18:47:14.183660 22201.006824970245 11 21 10.0 10.0 0.0 3.91009e-05 9.5368e-06 -1.04905e-05
2021-06-23 18:57:24.443565 22811.266730070114 11 21 15.848 15.8482 1.90736e-06 2.47956e-05 8.58313e-06 -6.67575e-06
2021-06-23 19:07:34.672468 23421.495632886887 11 21 25.11 25.1083 1.90736e-06 1.52589e-05 7.62945e-06 -4.7684e-06
2021-06-23 19:17:44.898371 24031.721536159515 11 21 39.81 39.8102 1.90736e-06 9.5368e-06 6.67575e-06 -2.86104e-06
2021-06-23 19:27:55.130274 24641.952439069748 11 21 63.09 63.0894 1.90736e-06 5.72208e-06 6.67575e-06 -2.86104e-06
