Date_time Time TC SENS Lockin1f Lockin2f X2 Y2 X1 Y1
2020-02-28 16:29:33.805953 130.9364891052246 11 26 10.0 9.9998 -0.000229091 -0.000200392 0.469728 0.00830084
2020-02-28 16:31:44.015401 261.1459369659424 11 26 11.416 11.416 -0.000221551 -0.000179083 0.469912 0.00732425
2020-02-28 16:33:54.222848 391.3533842563629 11 26 13.033 13.0324 -0.000213654 -0.000158609 0.469973 0.00640872
2020-02-28 16:36:04.426295 521.5568313598633 11 26 14.879 14.8787 -0.00020525 -0.000138999 0.469973 0.00573733
2020-02-28 16:38:14.634743 651.7642786502838 11 26 16.986 16.9859 -0.000196339 -0.000120253 0.469973 0.00506595
2020-02-28 16:40:29.909480 787.0390162467957 11 26 19.392 19.3925 -0.000186891 -0.000102312 0.469973 0.0044556
2020-02-28 16:42:40.122928 917.2524638175964 11 26 22.13 22.1295 -0.000177027 -8.55033e-05 0.469973 0.00390628
2020-02-28 16:44:50.339376 1047.4679119586945 11 26 25.27 25.2705 -0.000166745 -6.96187e-05 0.469973 0.00347902
2020-02-28 16:47:00.543823 1177.6743593215942 11 26 28.85 28.8506 -0.000156016 -5.48663e-05 0.469973 0.00299074
2020-02-28 16:49:10.758271 1307.889806985855 11 26 32.94 32.939 -0.000144989 -4.12764e-05 0.469973 0.00262453
2020-02-28 16:51:20.966719 1438.0962543487549 11 26 37.6 37.6015 -0.000133754 -2.89382e-05 0.469973 0.00231935
2020-02-28 16:53:31.171166 1568.301701784134 11 26 42.93 42.9296 -0.000122339 -1.78815e-05 0.469912 0.00195314
2020-02-28 16:55:41.378613 1698.5081491470337 11 26 49.01 49.0093 -0.000110806 -8.10629e-06 0.469912 0.00164796
2020-02-28 16:57:51.589061 1828.7155964374542 11 26 55.95 55.9483 -9.93316e-05 2.98025e-07 0.469912 0.00140382
2020-02-28 17:00:01.857512 1958.988047838211 11 26 63.87 63.8695 -8.80067e-05 7.39101e-06 0.469851 0.00109864
2020-02-28 17:02:12.060959 2089.1914949417114 11 26 72.92 72.9179 -7.69203e-05 1.31429e-05 0.469851 0.000854496
2020-02-28 17:04:22.268407 2219.3999423980713 11 26 83.25 83.2481 -6.62212e-05 1.75537e-05 0.46979 0.00054932
2020-02-28 17:06:32.472854 2349.60138964653 11 26 95.04 95.0375 -5.59988e-05 2.07723e-05 0.46979 0.000366213
2020-02-28 17:08:42.687302 2479.8158373832703 11 26 108.5 108.496 -4.64323e-05 2.27691e-05 0.46979 -0.00250246
2020-02-28 17:10:52.971753 2610.1012892723083 11 26 123.87 123.871 -3.76108e-05 2.37228e-05 0.46979 -0.00268556
2020-02-28 17:13:03.187201 2740.316737174988 11 26 141.42 141.422 -2.9564e-05 2.3693e-05 0.469728 -0.00268556
2020-02-28 17:15:13.398649 2870.5271849632263 11 26 161.45 161.449 -2.24413e-05 2.28585e-05 0.469728 -0.00280763
2020-02-28 17:17:23.611097 3000.7346324920654 11 26 184.31 184.312 -1.62424e-05 2.13386e-05 0.469728 -0.00280763
2020-02-28 17:19:33.817544 3130.946079969406 11 26 210.4 210.404 -1.10269e-05 1.93418e-05 0.469728 -0.00299074
2020-02-28 17:21:44.027992 3261.158527612686 11 26 240.2 240.2 -6.76516e-06 1.69874e-05 0.469667 -0.00305177
2020-02-28 17:23:54.240439 3391.3699753284454 11 26 274.2 274.2 -3.42728e-06 1.44542e-05 0.469667 -0.00305177
2020-02-28 17:26:04.449887 3521.5804228782654 11 26 313.0 312.998 -9.23876e-07 1.1921e-05 0.469667 -0.00311281
2020-02-28 17:28:14.667335 3651.795870780945 11 26 357.4 357.391 8.04666e-07 9.44739e-06 0.469667 -0.00311281
2020-02-28 17:30:24.875783 3782.0043182373047 11 26 408.0 407.996 1.90736e-06 7.21219e-06 0.469667 -0.00317384
2020-02-28 17:32:35.087230 3912.217766046524 11 26 465.8 465.806 2.4438e-06 5.24524e-06 0.469667 -0.00317384
2020-02-28 17:34:45.312679 4042.441214323044 11 26 531.8 531.795 2.59282e-06 3.57629e-06 0.469667 -0.00317384
2020-02-28 17:36:55.523126 4172.652662038803 11 26 607.1 607.09 2.4438e-06 2.26499e-06 0.469606 -0.00317384
2020-02-28 17:39:05.739574 4302.8681099414825 11 26 693.1 693.1 2.14578e-06 1.28151e-06 0.469667 -0.00317384
2020-02-28 17:41:15.949022 4433.079557657242 11 26 791.3 791.29 1.72854e-06 5.66248e-07 0.469606 -0.00311281
2020-02-28 17:43:26.161470 4563.291005373001 11 26 903.3 903.301 1.31131e-06 1.1921e-07 0.469606 -0.00317384
2020-02-28 17:45:36.373917 4693.5044531822205 11 26 1031.3 1031.29 9.23876e-07 -1.1921e-07 0.469606 -0.00317384
2020-02-28 17:47:46.599366 4823.73090171814 11 26 1177.4 1177.42 5.9605e-07 -2.3842e-07 0.469606 -0.00323488
2020-02-28 17:49:56.810813 4953.94134926796 11 26 1344.1 1344.11 3.5763e-07 -2.68223e-07 0.469606 -0.00317384
2020-02-28 17:52:07.024261 5084.155797243118 11 26 1534.5 1534.51 1.78815e-07 -2.3842e-07 0.469606 -0.00317384
2020-02-28 17:54:17.235709 5214.359244346619 11 26 1751.8 1751.8 5.96051e-08 -1.78815e-07 0.469545 -0.00317384
