Date_time,Time,V_input,TC,SENS_X3,SENS_X1,X3,Y3,X1_ref,Y1_ref
2021-05-25 16:29:50.374459,900.0125,0.1,13,16,24,5.96049e-006,5.96051e-008,0.00761417,-7.62945e-006
2021-05-25 16:44:50.454940,1800.093,0.3,13,16,24,7.14664e-005,2.62262e-006,0.0226518,-3.05178e-005
2021-05-25 16:59:50.533422,2700.1714,0.5,13,17,24,-0.000704292,3.53458e-005,0.0333025,-3.81472e-005
2021-05-25 17:14:50.607903,3600.2459,0.7,13,19,24,-0.00291802,0.0002203,0.0395815,-0.000122071
2021-05-25 17:29:50.690385,4500.3284,0.9,13,19,24,-0.0050669,0.000456097,0.0518801,-0.000305178
2021-05-25 17:44:50.769866,5400.4079,1.1,13,21,24,-0.00343229,0.000133515,0.0653157,-9.91826e-005
2021-05-25 17:59:50.859349,6300.4974,1.3,13,22,24,-0.00919157,0.000593189,0.0670857,-0.000320436
2021-05-25 18:14:50.952831,7200.5909,1.5,13,22,24,-0.00779155,0.000589374,0.138322,9.91826e-005
