Date time Time V_input X1 Y1 X1_ref Y1_ref X3 Y3 X3_ref Y3_ref
2020-04-17 14:18:49.982368 371.3072373867035 0.004 0.000343325 0.0 0.000328066 0.0 0.0 0.0 0.0 0.0
2020-04-17 14:25:06.391897 747.7157669067383 0.1 0.00859076 -7.62945e-06 0.00855261 0.0 2.20539e-06 0.0 3.99354e-06 2.08617e-07
2020-04-17 14:31:22.847429 1124.172298669815 0.2 0.0171815 -7.62945e-06 0.0170823 0.0 2.4438e-06 0.0 4.17235e-06 4.17234e-07
2020-04-17 14:37:39.306961 1500.630831003189 0.4 0.0343401 -1.52589e-05 0.0341189 0.0 1.99677e-06 2.98025e-08 3.99354e-06 8.04666e-07
2020-04-17 14:43:55.777494 1877.1013638973236 0.6 0.051491 -2.28883e-05 0.0511248 0.0 4.76841e-07 1.78815e-07 3.06965e-06 1.1325e-06
2020-04-17 14:50:12.233026 2253.556895971298 0.8 0.0686269 -3.05178e-05 0.0681157 7.62945e-06 -7.15259e-07 5.06643e-07 3.87433e-06 1.31131e-06
2020-04-17 14:56:28.693559 2630.018428325653 1.0 0.0857778 -4.57766e-05 0.0850987 0.0 -2.3544e-06 9.83484e-07 6.55654e-06 1.28151e-06
2020-04-17 15:02:45.135090 3006.4599595069885 1.2 0.102936 -5.3406e-05 0.102067 2.28883e-05 -4.97702e-06 1.75834e-06 7.18239e-06 1.04309e-06
2020-04-17 15:09:01.592622 3382.9164917469025 1.4 0.120087 -5.3406e-05 0.119027 7.62945e-06 -9.00036e-06 2.80143e-06 7.39101e-06 5.66248e-07
2020-04-17 15:15:18.051154 3759.375023841858 1.6 0.137254 -6.10356e-05 0.135972 3.05178e-05 0.000119746 3.93394e-06 2.40804e-05 -2.68223e-07
2020-04-17 15:21:29.452397 4130.776266813278 1.8 0.154428 -7.62944e-05 0.152902 1.52589e-05 0.000546072 -7.24201e-05 0.000546072 3.35278e-05
