Date time Time V_input X1 Y1 X1_ref Y1_ref X3 Y3 X3_ref Y3_ref
2020-04-17 11:17:11.435006 371.3102376461029 0.004 0.000343325 0.0 0.000312807 -7.62945e-06 0.0 0.0 0.0 0.0
2020-04-17 11:23:27.863537 747.7387681007385 0.1 0.00860602 0.0 0.00853735 0.0 2.20539e-06 0.0 3.96374e-06 7.45062e-07
2020-04-17 11:29:44.294068 1124.1692986488342 0.2 0.017212 0.0 0.0170671 7.62945e-06 2.4438e-06 0.0 4.08295e-06 1.46032e-06
2020-04-17 11:36:00.744599 1500.619830608368 0.4 0.0343859 -7.62945e-06 0.0340884 2.28883e-05 1.93717e-06 5.96051e-08 3.81473e-06 2.92064e-06
2020-04-17 11:42:17.208132 1877.0833630561829 0.6 0.0515521 -7.62945e-06 0.0510714 3.81472e-05 2.68223e-07 2.08617e-07 2.83124e-06 4.26176e-06
2020-04-17 11:48:33.662664 2253.537894964218 0.8 0.0687108 -1.52589e-05 0.0680547 4.57766e-05 -1.1921e-06 5.66248e-07 3.7253e-06 5.51346e-06
2020-04-17 11:54:50.116196 2629.992427110672 1.0 0.0858769 -2.28883e-05 0.0850301 6.10356e-05 -3.21867e-06 1.07289e-06 6.64595e-06 6.52674e-06
2020-04-17 12:01:06.572728 3006.4479591846466 1.2 0.103043 -2.28883e-05 0.101998 7.62944e-05 -6.43733e-06 1.87755e-06 7.68906e-06 7.3314e-06
2020-04-17 12:07:23.036260 3382.9114916324615 1.4 0.120202 -3.05178e-05 0.118966 9.15532e-05 -1.13249e-05 3.01005e-06 8.46392e-06 7.83807e-06
2020-04-17 12:13:39.511793 3759.387024641037 1.6 0.137376 -3.81472e-05 0.135926 9.91826e-05 0.000128062 4.32137e-06 2.51831e-05 7.98708e-06
2020-04-17 12:19:50.948038 4130.823269605637 1.8 0.15455 -4.57766e-05 0.152864 0.000106812 0.000546072 -3.73723e-05 0.000546072 0.00011158
