Date_time,Time,V_input,TC,SENS_X3,SENS_X1,X3,Y3,X1_ref,Y1_ref
2021-03-09 17:19:25.363647,300.0122,0.1,13,15,24,1.07289e-006,1.41562e-007,0.00434878,-7.62945e-006
2021-03-09 17:24:25.440811,600.0893,0.5,13,15,24,2.80888e-006,1.24425e-006,0.0217363,-3.05178e-005
2021-03-09 17:29:25.514974,900.1635,0.7,13,15,24,1.53483e-006,2.77163e-006,0.0304185,-3.81472e-005
2021-03-09 17:34:25.593137,1200.2416,0.9,13,15,24,4.24685e-007,5.49856e-006,0.0390856,-5.3406e-005
2021-03-09 17:39:25.665301,1500.3138,1.1,13,15,24,-7.52512e-007,9.70071e-006,0.0477526,-5.3406e-005
2021-03-09 17:44:25.746464,1800.395,1.3,13,15,24,-2.39165e-006,1.59593e-005,0.0563967,-6.8665e-005
2021-03-09 17:49:25.823628,2100.4721,1.5,13,15,24,-4.1202e-006,2.44455e-005,0.0650487,-7.62944e-005
2021-03-09 17:54:25.901791,2400.5503,1.7,13,15,24,-6.27342e-006,3.56215e-005,0.0736928,-9.15532e-005
2021-03-09 17:59:25.977955,2700.6265,1.9,13,15,24,-8.8588e-006,4.95913e-005,0.0823293,-9.91826e-005
