Date_time,Time,V_input,TC,SENS_X3,SENS_X1,X3,Y3,X1_ref,Y1_ref
2021-04-23 11:56:25.523405,900.0125,0.1,13,15,24,6.33303e-007,0,0.0051575,0
2021-04-23 12:11:25.591886,1800.081,0.5,13,15,24,3.40493e-006,8.19568e-008,0.0257875,2.28883e-005
2021-04-23 12:26:25.666367,2700.1554,0.7,13,15,24,3.34533e-006,2.16068e-007,0.0358889,3.81472e-005
2021-04-23 12:41:25.744849,3600.2339,0.9,13,15,24,2.74183e-006,4.69388e-007,0.0461428,4.57766e-005
2021-04-23 12:56:25.819330,4500.3084,1.1,13,15,24,2.69712e-006,8.4937e-007,0.0564044,5.3406e-005
2021-04-23 13:11:25.897812,5400.3869,1.3,13,15,24,2.45871e-006,1.40817e-006,0.0666814,6.8665e-005
2021-04-23 13:26:25.984294,6300.4734,1.5,13,15,24,2.15323e-006,2.16068e-006,0.0769582,7.62944e-005
2021-04-23 14:01:51.264853,7200.0145,1.7,13,15,24,3.6508e-007,3.10691e-006,0.0872121,8.39238e-005
2021-04-23 14:16:51.338334,8100.088,1.9,13,15,24,2.23519e-008,4.30646e-006,0.0974431,9.91826e-005
