Date_Time RTD Rsamp
2020-02-26 11:36:12.805639 1109.04981 39.8292453 
2020-02-26 11:36:12.871643 1109.04753 39.8319714 
2020-02-26 11:36:12.933646 1109.04807 39.8320451 
2020-02-26 11:36:13.021651 1109.04667 39.8318977 
2020-02-26 11:36:13.086655 1109.04507 39.8333713 
2020-02-26 11:36:13.158659 1109.04561 39.8342554 
2020-02-26 11:36:13.218663 1109.04408 39.8366131 
2020-02-26 11:36:13.306668 1109.04415 39.838013 
2020-02-26 11:36:13.366671 1109.04393 39.8389708 
2020-02-26 11:36:13.427675 1109.04357 39.8405181 
2020-02-26 11:36:13.493678 1109.04438 39.8412548 
2020-02-26 11:36:13.576683 1109.04401 39.8418443 
2020-02-26 11:36:13.637687 1109.04445 39.8418443 
2020-02-26 11:36:13.698690 1109.04497 39.8401497 
2020-02-26 11:36:13.762694 1109.04467 39.839855 
2020-02-26 11:36:13.850699 1109.04489 39.8400775 
2020-02-26 11:36:13.915702 1109.04379 39.8380898 
2020-02-26 11:36:13.981706 1109.04622 39.8375756 
2020-02-26 11:36:14.043710 1109.04651 39.8381666 
2020-02-26 11:36:14.131715 1109.04703 39.8359578 
2020-02-26 11:36:14.191718 1109.0485 39.8355172 
2020-02-26 11:36:14.258722 1109.04998 39.83294 
2020-02-26 11:36:14.318726 1109.04843 39.8332363 
2020-02-26 11:36:14.400730 1109.0488 39.8347114 
2020-02-26 11:36:14.461734 1109.04799 39.8340499 
2020-02-26 11:36:14.522737 1109.04696 39.8346393 
2020-02-26 11:36:14.583741 1109.04777 39.8362602 
2020-02-26 11:36:14.666745 1109.04703 39.8348603 
2020-02-26 11:36:14.726749 1109.04718 39.8352287 
2020-02-26 11:36:14.793753 1109.04467 39.8366286 
2020-02-26 11:36:14.850756 1109.04482 39.8365549 
2020-02-26 11:36:14.936761 1109.04482 39.8381759 
2020-02-26 11:36:14.997764 1109.04445 39.8386179 
2020-02-26 11:36:15.058768 1109.04644 39.8369233 
2020-02-26 11:36:15.122772 1109.04696 39.8386179 
2020-02-26 11:36:15.213777 1109.04718 39.837218 
2020-02-26 11:36:15.276780 1109.04723 39.8359655 
2020-02-26 11:36:15.344784 1109.04662 39.836997 
2020-02-26 11:36:15.405788 1109.04479 39.834934 
2020-02-26 11:36:15.487792 1109.04509 39.8330921 
2020-02-26 11:36:15.553796 1109.04635 39.8318395 
2020-02-26 11:36:15.622800 1109.04782 39.8320606 
2020-02-26 11:36:15.683804 1109.0476 39.8322079 
2020-02-26 11:36:15.765808 1109.04664 39.8322816 
2020-02-26 11:36:15.826812 1109.04738 39.8312501 
2020-02-26 11:36:15.889815 1109.04605 39.8319869 
2020-02-26 11:36:15.956819 1109.04738 39.8320606 
2020-02-26 11:36:16.038824 1109.04627 39.830587 
2020-02-26 11:36:16.105828 1109.04694 39.8312501 
2020-02-26 11:36:16.164831 1109.04694 39.8336078 
2020-02-26 11:36:16.227835 1109.04775 39.8347867 
2020-02-26 11:36:16.315840 1109.0479 39.8341972 
2020-02-26 11:36:16.383844 1109.04819 39.8339762 
2020-02-26 11:36:16.444847 1109.04819 39.8358182 
2020-02-26 11:36:16.505851 1109.0479 39.8381022 
2020-02-26 11:36:16.587855 1109.0493 39.8392074 
2020-02-26 11:36:16.654859 1109.04767 39.8395757 
2020-02-26 11:36:16.713863 1109.04856 39.8421545 
2020-02-26 11:36:16.775866 1109.04782 39.8441438 
2020-02-26 11:36:16.857871 1109.04738 39.8425218 
2020-02-26 11:36:16.920874 1109.04841 39.8430365 
2020-02-26 11:36:16.987878 1109.04738 39.8430355 
2020-02-26 11:36:17.047882 1109.04907 39.8416345 
2020-02-26 11:36:17.130886 1109.0462 39.8419282 
2020-02-26 11:36:17.190890 1109.04421 39.8400115 
2020-02-26 11:36:17.256894 1109.04222 39.8402315 
2020-02-26 11:36:17.323897 1109.04163 39.83942 
2020-02-26 11:36:17.405902 1109.04333 39.83824 
2020-02-26 11:36:17.465906 1109.04554 39.8377969 
2020-02-26 11:36:17.548910 1109.04682 39.838239 
2020-02-26 11:36:17.597913 1109.04718 39.8400809 
2020-02-26 11:36:17.677918 1109.04577 39.840523 
2020-02-26 11:36:17.737921 1109.04645 39.8433228 
2020-02-26 11:36:17.803925 1109.04644 39.8422913 
2020-02-26 11:36:17.864928 1109.04644 39.8417755 
2020-02-26 11:36:17.948933 1109.05094 39.8412598 
2020-02-26 11:36:18.013937 1109.05145 39.8412598 
2020-02-26 11:36:18.079941 1109.05123 39.8414072 
2020-02-26 11:36:18.140944 1109.05005 39.8409651 
2020-02-26 11:36:18.222949 1109.05138 39.840523 
2020-02-26 11:36:18.288953 1109.05182 39.8383863 
2020-02-26 11:36:18.361957 1109.05293 39.8368391 
2020-02-26 11:36:18.422960 1109.05212 39.8336709 
2020-02-26 11:36:18.504965 1109.05153 39.8317553 
2020-02-26 11:36:18.571969 1109.05249 39.8319763 
2020-02-26 11:36:18.643973 1109.05278 39.8328605 
2020-02-26 11:36:18.704976 1109.0561 39.8335973 
2020-02-26 11:36:18.787981 1109.05566 39.8339657 
2020-02-26 11:36:18.853985 1109.05566 39.8327868 
2020-02-26 11:36:18.914988 1109.05632 39.8341867 
2020-02-26 11:36:18.978992 1109.0558 39.8352182 
2020-02-26 11:36:19.066997 1109.05787 39.8368391 
2020-02-26 11:36:19.133001 1109.06155 39.8393442 
2020-02-26 11:36:19.200005 1109.06487 39.8407441 
2020-02-26 11:36:19.261008 1109.06708 39.8408914 
2020-02-26 11:36:19.343013 1109.06796 39.8392705 
2020-02-26 11:36:19.404016 1109.07128 39.8389758 
2020-02-26 11:36:19.465020 1109.07231 39.838239 
2020-02-26 11:36:19.526023 1109.0743 39.8400073 
2020-02-26 11:36:19.614028 1109.07725 39.840302 
2020-02-26 11:36:19.674032 1109.07924 39.8392705 
2020-02-26 11:36:19.735035 1109.08049 39.8380916 
2020-02-26 11:36:19.799039 1109.08366 39.8367654 
2020-02-26 11:36:19.888044 1109.08407 39.8368378 
2020-02-26 11:36:19.955048 1109.08778 39.8357313 
2020-02-26 11:36:20.022052 1109.08902 39.8365404 
2020-02-26 11:36:20.083055 1109.09167 39.8368338 
2020-02-26 11:36:20.165060 1109.09469 39.8382323 
2020-02-26 11:36:20.226063 1109.09683 39.8375679 
2020-02-26 11:36:20.287067 1109.09668 39.8367561 
2020-02-26 11:36:20.351071 1109.10066 39.8381546 
2020-02-26 11:36:20.439076 1109.10369 39.838448 
2020-02-26 11:36:20.499079 1109.10944 39.8374152 
2020-02-26 11:36:20.561083 1109.11555 39.8386677 
2020-02-26 11:36:20.628086 1109.11666 39.8407307 
2020-02-26 11:36:20.709091 1109.1185 39.8397729 
2020-02-26 11:36:20.769094 1109.12145 39.838373 
2020-02-26 11:36:20.832098 1109.12602 39.8368257 
2020-02-26 11:36:20.899102 1109.13184 39.8366047 
2020-02-26 11:36:20.981107 1109.1373 39.8352048 
2020-02-26 11:36:21.041110 1109.1412 39.8343944 
2020-02-26 11:36:21.102114 1109.14503 39.8327734 
2020-02-26 11:36:21.163117 1109.14997 39.8339523 
2020-02-26 11:36:21.247122 1109.15403 39.8329208 
2020-02-26 11:36:21.315126 1109.16044 39.8310788 
2020-02-26 11:36:21.374129 1109.16398 39.8318893 
2020-02-26 11:36:21.434133 1109.16928 39.8340996 
2020-02-26 11:36:21.517137 1109.17031 39.8336576 
2020-02-26 11:36:21.578141 1109.17525 39.8335102 
2020-02-26 11:36:21.639144 1109.17923 39.8355732 
2020-02-26 11:36:21.703148 1109.1796 39.8354995 
2020-02-26 11:36:21.791153 1109.18653 39.8379309 
2020-02-26 11:36:21.858157 1109.19346 39.8393308 
2020-02-26 11:36:21.919160 1109.19788 39.8413938 
2020-02-26 11:36:21.985164 1109.20296 39.8431621 
2020-02-26 11:36:22.072169 1109.21004 39.8441199 
2020-02-26 11:36:22.133173 1109.21454 39.8431621 
2020-02-26 11:36:22.194176 1109.22275 39.844783 
2020-02-26 11:36:22.260180 1109.22945 39.8454461 
2020-02-26 11:36:22.347185 1109.23184 39.8458882 
