Date_Time,RTD,Vsamp
2020-02-26 13:07:54.236303,1105.65658,0.000195564
2020-02-26 13:07:54.828337,1105.65688,0.000195564
2020-02-26 13:07:55.371368,1105.65791,0.000195594
2020-02-26 13:07:55.915399,1105.65673,0.000195623
2020-02-26 13:07:56.465430,1105.65938,0.000195623
2020-02-26 13:07:57.004461,1105.66159,0.000195594
2020-02-26 13:07:57.543492,1105.65805,0.000195594
2020-02-26 13:07:58.101524,1105.65655,0.000195564
2020-02-26 13:07:58.652555,1105.65706,0.000195564
2020-02-26 13:07:59.205587,1105.65832,0.000195564
2020-02-26 13:07:59.758619,1105.65611,0.000195564
2020-02-26 13:08:00.316651,1105.65871,0.000195564
2020-02-26 13:08:00.857682,1105.65761,0.000195594
2020-02-26 13:08:01.406713,1105.65437,0.000195594
2020-02-26 13:08:01.954744,1105.65186,0.000195564
2020-02-26 13:08:02.501776,1105.64888,0.000195594
2020-02-26 13:08:03.051807,1105.65802,0.000195564
2020-02-26 13:08:03.600838,1105.66273,0.000195564
2020-02-26 13:08:04.147870,1105.66384,0.000195594
2020-02-26 13:08:04.695901,1105.66141,0.000195564
2020-02-26 13:08:05.245933,1105.65927,0.000195564
2020-02-26 13:08:05.790964,1105.66037,0.000195564
2020-02-26 13:08:06.341995,1105.66981,0.000195564
2020-02-26 13:08:06.892027,1105.66493,0.000195564
2020-02-26 13:08:07.438058,1105.65688,0.000195564
2020-02-26 13:08:07.990090,1105.66558,0.000195564
2020-02-26 13:08:08.538121,1105.66418,0.000195564
2020-02-26 13:08:09.085152,1105.66328,0.000195564
2020-02-26 13:08:09.638184,1105.6674,0.000195594
2020-02-26 13:08:10.184215,1105.66873,0.000195623
2020-02-26 13:08:10.730246,1105.6646,0.000195623
2020-02-26 13:08:11.283278,1105.66468,0.000195594
2020-02-26 13:08:11.826309,1105.66711,0.000195564
2020-02-26 13:08:12.374340,1105.66497,0.000195594
2020-02-26 13:08:12.925372,1105.66276,0.000195564
2020-02-26 13:08:13.472403,1105.66409,0.000195564
2020-02-26 13:08:14.020434,1105.6684,0.000195564
2020-02-26 13:08:14.571466,1105.66545,0.000195564
2020-02-26 13:08:15.121497,1105.66162,0.000195564
2020-02-26 13:08:15.665529,1105.66457,0.000195564
2020-02-26 13:08:16.216560,1105.66988,0.000195564
2020-02-26 13:08:16.765591,1105.67098,0.000195564
2020-02-26 13:08:17.310623,1105.65462,0.000195564
2020-02-26 13:08:17.862654,1105.65823,0.000195594
2020-02-26 13:08:18.403685,1105.66907,0.000195594
2020-02-26 13:08:18.948716,1105.6617,0.000195564
2020-02-26 13:08:19.501748,1105.66413,0.000195564
2020-02-26 13:08:20.049779,1105.66884,0.000195564
2020-02-26 13:08:20.595811,1105.6732,0.000195564
2020-02-26 13:08:21.146842,1105.67024,0.000195564
2020-02-26 13:08:21.694873,1105.66913,0.000195564
2020-02-26 13:08:22.240905,1105.66965,0.000195564
2020-02-26 13:08:22.790936,1105.6729,0.000195564
2020-02-26 13:08:23.339967,1105.67289,0.000195564
2020-02-26 13:08:23.885999,1105.67127,0.000195564
2020-02-26 13:08:24.427030,1105.67613,0.000195564
2020-02-26 13:08:24.982061,1105.67414,0.000195564
