Date_Time,RTD,Rsamp
2020-02-26 11:46:20.058372,1125.18516,40.1917997
2020-02-26 11:46:20.166378,1125.18749,40.191133
2020-02-26 11:46:20.202380,1125.18786,40.1912031
2020-02-26 11:46:20.250383,1125.18742,40.1898733
2020-02-26 11:46:20.311386,1125.18565,40.190168
2020-02-26 11:46:20.376390,1125.18617,40.1895786
2020-02-26 11:46:20.464395,1125.18388,40.1891365
2020-02-26 11:46:20.524399,1125.18639,40.1907574
2020-02-26 11:46:20.585402,1125.1872,40.1903154
2020-02-26 11:46:20.645405,1125.18801,40.1909785
2020-02-26 11:46:20.733410,1125.19059,40.1912732
2020-02-26 11:46:20.794414,1125.18838,40.1920099
2020-02-26 11:46:20.858418,1125.18683,40.1913468
2020-02-26 11:46:20.931422,1125.18543,40.192452
2020-02-26 11:46:21.012426,1125.18535,40.1927467
2020-02-26 11:46:21.077430,1125.18705,40.1919363
2020-02-26 11:46:21.143434,1125.1883,40.1925993
2020-02-26 11:46:21.210438,1125.18874,40.1919363
2020-02-26 11:46:21.292442,1125.18801,40.192673
2020-02-26 11:46:21.353446,1125.19051,40.1916415
2020-02-26 11:46:21.418450,1125.19081,40.190168
2020-02-26 11:46:21.484453,1125.19169,40.1871473
2020-02-26 11:46:21.567458,1125.19147,40.1881051
2020-02-26 11:46:21.627462,1125.19066,40.1891365
2020-02-26 11:46:21.684465,1125.18978,40.1886945
2020-02-26 11:46:21.750469,1125.18926,40.1909785
2020-02-26 11:46:21.832473,1125.18882,40.1895049
2020-02-26 11:46:21.899477,1125.1872,40.1886208
2020-02-26 11:46:21.956480,1125.18874,40.1898733
2020-02-26 11:46:22.023484,1125.18985,40.1892102
2020-02-26 11:46:22.104489,1125.18963,40.1917889
2020-02-26 11:46:22.170493,1125.19103,40.1948096
2020-02-26 11:46:22.237497,1125.19316,40.1948096
2020-02-26 11:46:22.296500,1125.19326,40.1923783
2020-02-26 11:46:22.378505,1125.19477,40.1917889
2020-02-26 11:46:22.438508,1125.19237,40.1898733
2020-02-26 11:46:22.505512,1125.19178,40.1903154
2020-02-26 11:46:22.564515,1125.19089,40.1906101
2020-02-26 11:46:22.647520,1125.18993,40.1884725
2020-02-26 11:46:22.707523,1125.19104,40.1895767
2020-02-26 11:46:22.767527,1125.1917,40.1887653
2020-02-26 11:46:22.833531,1125.19178,40.189059
2020-02-26 11:46:22.915535,1125.19266,40.1889844
2020-02-26 11:46:22.976539,1125.19281,40.1914884
2020-02-26 11:46:23.036542,1125.19347,40.1912665
2020-02-26 11:46:23.097546,1125.19318,40.1919286
2020-02-26 11:46:23.178550,1125.19273,40.1930328
2020-02-26 11:46:23.242554,1125.19281,40.1931055
2020-02-26 11:46:23.308558,1125.19251,40.1946527
2020-02-26 11:46:23.369561,1125.19133,40.1931792
2020-02-26 11:46:23.450566,1125.19067,40.1923687
2020-02-26 11:46:23.511569,1125.19251,40.1912636
2020-02-26 11:46:23.572573,1125.19237,40.1889796
2020-02-26 11:46:23.638577,1125.19244,40.1880218
2020-02-26 11:46:23.720581,1125.19185,40.1889796
2020-02-26 11:46:23.780585,1125.19163,40.1875797
2020-02-26 11:46:23.841588,1125.19192,40.1864746
2020-02-26 11:46:23.906592,1125.19001,40.1875797
2020-02-26 11:46:23.987597,1125.19104,40.1862536
2020-02-26 11:46:24.048600,1125.19111,40.1879481
2020-02-26 11:46:24.109604,1125.1934,40.1899374
2020-02-26 11:46:24.175607,1125.19325,40.1901584
2020-02-26 11:46:24.265613,1125.19708,40.1906742
2020-02-26 11:46:24.331616,1125.19627,40.1914846
2020-02-26 11:46:24.397620,1125.19436,40.1907478
2020-02-26 11:46:24.457623,1125.19627,40.1919267
2020-02-26 11:46:24.546629,1125.19347,40.1910426
2020-02-26 11:46:24.613632,1125.19289,40.1904531
2020-02-26 11:46:24.672636,1125.1919,40.1908952
2020-02-26 11:46:24.732639,1125.19282,40.1917056
2020-02-26 11:46:24.814644,1125.19408,40.1906005
2020-02-26 11:46:24.875647,1125.19327,40.1886112
2020-02-26 11:46:24.935651,1125.19511,40.1894953
2020-02-26 11:46:25.006655,1125.19555,40.1860325
2020-02-26 11:46:25.088660,1125.19644,40.1854431
2020-02-26 11:46:25.147663,1125.19902,40.1857378
2020-02-26 11:46:25.210667,1125.19946,40.1869903
2020-02-26 11:46:25.278670,1125.19799,40.1875797
2020-02-26 11:46:25.360675,1125.1985,40.1876534
2020-02-26 11:46:25.421679,1125.19762,40.1865483
2020-02-26 11:46:25.482682,1125.19865,40.1874324
2020-02-26 11:46:25.543686,1125.19629,40.1897164
2020-02-26 11:46:25.625690,1125.19592,40.1907498
2020-02-26 11:46:25.686694,1125.19541,40.1935515
2020-02-26 11:46:25.747697,1125.19393,40.1951743
2020-02-26 11:46:25.807701,1125.19666,40.1964288
2020-02-26 11:46:25.890705,1125.19666,40.1964307
2020-02-26 11:46:25.951709,1125.19644,40.1949592
2020-02-26 11:46:26.011712,1125.1974,40.1949611
2020-02-26 11:46:26.072716,1125.19519,40.1966576
2020-02-26 11:46:26.154721,1125.19644,40.1961438
2020-02-26 11:46:26.214724,1125.19548,40.195409
2020-02-26 11:46:26.275727,1125.19504,40.1956301
2020-02-26 11:46:26.339731,1125.19607,40.1965879
2020-02-26 11:46:26.427736,1125.19622,40.1953354
2020-02-26 11:46:26.487740,1125.19725,40.1947459
2020-02-26 11:46:26.547743,1125.19916,40.1941565
2020-02-26 11:46:26.609747,1125.20086,40.1953354
2020-02-26 11:46:26.696752,1125.20071,40.1968826
2020-02-26 11:46:26.756755,1125.20292,40.1945249
2020-02-26 11:46:26.816758,1125.20219,40.1947459
2020-02-26 11:46:26.884762,1125.19834,40.1936408
2020-02-26 11:46:26.965767,1125.19818,40.192462
2020-02-26 11:46:27.026770,1125.19872,40.1907674
2020-02-26 11:46:27.090774,1125.19767,40.19062
