Date_time Time TC SENS Lockin1f Lockin2f X3 Y3 X3_ref Y3_ref
2020-03-09 16:45:17.328607190.8199143409729 11 15 10.0 10.0 1.80454e-05 5.21544e-07 3.78715e-05 8.40431e-06
2020-03-09 16:48:27.545487381.0387942790985 11 15 13.033 13.0324 1.81125e-05 5.9605e-07 3.82441e-05 6.52674e-06
2020-03-09 16:51:37.760366571.2536737918854 11 15 16.986 16.9854 1.81721e-05 6.03501e-07 3.83931e-05 4.93231e-06
2020-03-09 16:54:47.973246761.4645533561707 11 15 22.13 22.13 1.82317e-05 5.28995e-07 3.85048e-05 3.73276e-06
2020-03-09 16:57:58.188126951.6804330348969 11 15 28.85 28.8496 1.83434e-05 5.9605e-07 3.85644e-05 2.74928e-06
2020-03-09 17:01:08.4060061141.8983128070831 11 15 37.6 37.5996 1.84105e-05 5.43896e-07 3.85868e-05 2.02657e-06
2020-03-09 17:04:18.6238851332.1171927452087 11 15 49.01 49.0074 1.86638e-05 5.36445e-07 3.8557e-05 1.38582e-06
2020-03-09 17:07:28.8417651522.333072423935 11 15 63.87 63.8695 1.86564e-05 5.21544e-07 3.82962e-05 1.03564e-06
2020-03-09 17:10:39.0606451712.5529522895813 11 15 83.25 83.2481 1.87458e-05 5.81149e-07 3.91754e-05 4.76841e-07
2020-03-09 17:13:49.3215271902.8138349056244 11 15 108.5 108.499 1.88426e-05 5.06643e-07 3.8788e-05 -4.32135e-07
2020-03-09 17:16:59.5484082093.0407149791718 11 15 141.42 141.419 1.87905e-05 5.9605e-07 3.8937e-05 -6.10951e-07
2020-03-09 17:20:09.7692882283.261595249176 11 15 184.31 184.312 1.89022e-05 4.91742e-07 3.87582e-05 -8.04666e-07
2020-03-09 17:23:19.9861682473.477474927902 11 15 240.2 240.2 1.90662e-05 5.58797e-07 3.88252e-05 -1.00584e-06
2020-03-09 17:26:25.1297572658.6220643520355 11 15 313.0 312.998 1.91109e-05 7.82315e-07 3.89519e-05 -1.11759e-06
2020-03-09 17:29:35.3466372848.8389444351196 11 15 408.0 407.996 1.92748e-05 5.73698e-07 3.87731e-05 -1.08034e-06
2020-03-09 17:32:45.5715173039.062824487686 11 15 531.8 531.795 1.94908e-05 4.76841e-07 3.87507e-05 -1.33366e-06
2020-03-09 17:35:50.7161073224.2084143161774 11 15 693.1 693.1 1.94983e-05 5.66248e-07 3.83335e-05 -1.46032e-06
2020-03-09 17:38:55.8616973409.35400390625 11 15 903.3 903.301 1.96249e-05 3.12926e-07 3.87954e-05 -1.31131e-06
2020-03-09 17:42:01.0102873594.5035939216614 11 15 1177.4 1177.42 1.99453e-05 4.99193e-07 3.85421e-05 -1.63168e-06
2020-03-09 17:45:06.1528763779.645183324814 11 15 1534.5 1534.51 2.01167e-05 9.6858e-08 3.88476e-05 -2.04147e-06
