Date_time Time TC SENS Lockin1f Lockin2f X3 Y3 X3_ref Y3_ref
2021-03-12 16:16:27.540960 2783.3641991615295 15 16 0.01 0.01 -4.09188e-05 8.49073e-05 2.9415e-05 9.32519e-05
2021-03-12 16:48:43.282678 4719.106917381287 15 16 0.0158 0.0157 -6.10356e-05 4.41077e-06 3.45708e-06 3.5763e-07
2021-03-12 17:19:28.525220 6564.348459005356 15 16 0.0251 0.0242 -6.01711e-05 5.09623e-06 3.93394e-06 -2.3842e-07
2021-03-12 17:50:53.799052 8449.623290538788 15 16 0.0398 0.0398 -5.86512e-05 5.42405e-06 3.51669e-06 5.96051e-08
2021-03-12 18:21:39.041593 10294.865832567215 15 16 0.0631 0.0631 -5.82638e-05 7.3612e-06 3.39748e-06 -1.1921e-07
2021-03-12 18:42:04.778702 11520.603940725327 13 14 0.1 0.1 -5.63415e-05 1.15559e-05 3.91531e-06 -6.44479e-07
2021-03-12 19:02:30.031782 12745.855020999908 13 14 0.1585 0.1584 -5.32458e-05 1.71216e-05 3.29317e-06 -7.30161e-07
2021-03-12 19:22:55.247860 13971.072099685669 13 14 0.2512 0.2512 -4.6734e-05 2.34322e-05 3.17024e-06 -7.07809e-07
2021-03-12 19:43:20.482940 15196.306178808212 13 14 0.3981 0.398 -3.64634e-05 2.81559e-05 2.85731e-06 -8.82897e-07
2021-03-12 20:03:45.705019 16421.529257774353 13 14 0.631 0.631 -2.36892e-05 2.84911e-05 2.40655e-06 -8.4937e-07
2021-03-12 20:18:51.418822 17327.24206137657 12 14 1.0 0.631 -1.27853e-05 2.39761e-05 2.18303e-06 -8.4937e-07
2021-03-12 20:33:56.623597 18232.44783616066 12 14 1.5849 0.9999 -6.04245e-06 1.77548e-05 1.85148e-06 -7.9349e-07
2021-03-12 20:49:01.824372 19137.647610664368 12 14 2.511 1.5849 -2.25009e-06 1.19135e-05 1.83285e-06 -1.02074e-06
2021-03-12 21:04:12.050434 20047.87467265129 12 14 3.981 3.981 -5.84874e-07 8.15099e-06 1.57581e-06 -5.21544e-07
2021-03-12 21:19:22.272495 20958.097734689713 12 14 6.309 6.3088 1.60188e-07 5.20798e-06 1.33366e-06 -5.40171e-07
2021-03-12 21:29:33.007427 21568.830666542053 11 14 10.0 10.0 4.88017e-07 3.46081e-06 1.1623e-06 -3.35278e-07
2021-03-12 21:39:43.237331 22179.060569524765 11 14 15.848 15.8477 6.74281e-07 2.30969e-06 1.05426e-06 2.45871e-07
2021-03-12 21:49:53.459233 22789.283472299576 11 14 25.11 25.1083 7.8604e-07 1.54228e-06 1.02446e-06 2.16068e-07
2021-03-12 22:00:03.683136 23399.507375001907 11 14 39.81 39.8102 9.46227e-07 8.75447e-07 1.11387e-06 2.98025e-08
2021-03-12 22:10:13.909039 24009.732278108597 11 14 63.09 63.0875 8.38194e-07 3.6508e-07 9.90934e-07 -1.93716e-07
