R,X2,Y2,freq,modified X2,modified Y2,theta,theta_smooth
0.0003142498764804849,-0.000236512,-0.000206918,10.0,0.000206918,-0.00023651199999999997,0.7187581545628022,0.7187581545628022
0.0002878779645978483,-0.00022629,-0.00017795099999999998,11.931,0.000177951,-0.00022629,0.6663836342527971,0.6663836342527971
0.0002623991286037361,-0.00021511400000000003,-0.000150264,14.235999999999999,0.000150264,-0.00021511400000000005,0.6097400103435808,0.6097400103435808
0.0002379451005463235,-0.000202985,-0.000124157,16.986,0.000124157,-0.00020298499999999998,0.5489460588808115,0.5489460588808115
0.00021449071952417894,-0.000189901,-9.9719e-05,20.26,9.971899999999997e-05,-0.000189901,0.48353358443230576,0.48353358443230576
0.00019211631198628085,-0.000175954,-7.71289e-05,24.18,7.712890000000003e-05,-0.00017595399999999998,0.4131211066987239,0.4131211066987239
0.00017087413598950544,-0.000161261,-5.65054e-05,28.85,5.6505399999999996e-05,-0.000161261,0.33702861271323814,0.33702861271323814
0.00015088916887159262,-0.000146003,-3.8087600000000004e-05,34.42,3.808760000000002e-05,-0.000146003,0.25518149840958276,0.25518149840958276
0.00013216391770585494,-0.000130326,-2.19644e-05,41.07,2.1964400000000013e-05,-0.000130326,0.1669652731790207,0.1669652731790207
0.00011470304051546367,-0.000114412,-8.16589e-06,49.01,8.165890000000012e-06,-0.000114412,0.07125184759475608,0.07125184759475608
9.866698540567457e-05,-9.861639999999999e-05,3.15906e-06,58.48,-3.1590599999999853e-06,-9.861639999999999e-05,-0.03202286933917873,-0.03202286933917873
8.397384357911694e-05,-8.31191e-05,1.1950799999999999e-05,69.77,-1.1950799999999997e-05,-8.31191e-05,-0.14280058080602281,-0.14280058080602281
7.069486950274397e-05,-6.82776e-05,1.83285e-05,83.25,-1.832849999999999e-05,-6.82776e-05,-0.26225809540569334,-0.26225809540569334
5.8798404028850986e-05,-5.43597e-05,2.24115e-05,99.33,-2.2411500000000004e-05,-5.4359699999999994e-05,-0.3910488586849884,-0.3910488586849884
4.826135628067243e-05,-4.16341e-05,2.44082e-05,118.52,-2.4408200000000005e-05,-4.16341e-05,-0.5302515855032989,-0.5302515855032989
3.910163056357113e-05,-3.0428299999999998e-05,2.45572e-05,141.42,-2.4557199999999996e-05,-3.04283e-05,-0.6790257692759144,-0.6790257692759144
3.119223231543392e-05,-2.08319e-05,2.3216100000000003e-05,168.73,-2.3216100000000003e-05,-2.0831900000000003e-05,-0.8394727116513376,-0.8394727116513376
2.4460564078941433e-05,-1.29641e-05,2.07425e-05,201.3,-2.0742499999999997e-05,-1.2964100000000003e-05,-1.012195711402149,-1.012195711402149
1.8844558272445655e-05,-6.85456e-06,1.7553699999999998e-05,240.2,-1.75537e-05,-6.854559999999998e-06,-1.1985142377843718,-1.1985142377843718
1.4282633114103996e-05,-2.4736099999999998e-06,1.40668e-05,286.6,-1.40668e-05,-2.4736099999999998e-06,-1.3967285735188182,-1.3967285735188182
1.0616771526439854e-05,3.87432e-07,1.0609700000000001e-05,341.9,-1.0609700000000001e-05,3.874319999999985e-07,1.5342957728301765,-1.6072968807596166
7.69255529853377e-06,2.0265700000000002e-06,7.42081e-06,408.0,-7.42081e-06,2.026569999999997e-06,1.3042040602417513,-1.8373885933480418
5.456461345634183e-06,2.6524200000000003e-06,4.7684e-06,486.8,-4.768400000000001e-06,2.6524199999999982e-06,1.063167718870188,-2.078424934719605
3.7941754589502047e-06,2.62262e-06,2.7418299999999997e-06,580.9,-2.7418300000000006e-06,2.6226199999999985e-06,0.8076167287241673,-2.3339759248656256
2.5764980528228624e-06,2.23519e-06,1.2815100000000002e-06,693.1,-1.281510000000002e-06,2.235189999999999e-06,0.5205811926480693,-2.6210114609417237
1.713319666093867e-06,1.66894e-06,3.87432e-07,827.0,-3.8743200000000087e-07,1.6689399999999999e-06,0.22810234400806417,-2.913490309581729
1.0766088589988288e-06,1.07289e-06,-8.94074e-08,986.7,8.940739999999961e-08,1.07289e-06,-0.08314113932504182,-3.2247337929148348
6.931880167234572e-07,6.25852e-07,-2.98025e-07,1177.4,2.9802500000000016e-07,6.25852e-07,-0.4444195200143511,-3.586012173604144
4.0095196514545227e-07,2.68223e-07,-2.98025e-07,1404.8,2.980249999999999e-07,2.682230000000001e-07,-0.8379802980966764,-3.9795729516864693
2.2696857902308856e-07,8.94074e-08,-2.08617e-07,1676.2,2.08617e-07,8.940739999999997e-08,-1.1659040776918022,-4.307496731281596
