Date_time,Time,V_input,TC,SENS_X3,SENS_X1,X3,Y3,X1_ref,Y1_ref
2021-05-31 15:09:12.148512,900.0125,0.1,13,15,24,-1.6004e-005,3.05476e-007,0.000968937,0
2021-05-31 15:24:12.280996,1800.145,0.3,13,15,24,7.28597e-005,-9.76033e-007,0.00569156,-7.62945e-006
2021-05-31 15:39:12.360478,2700.2244,0.5,13,15,24,-1.70843e-005,0,5.3406e-005,0
2021-05-31 15:54:12.424959,3600.2889,0.7,13,15,24,-0.000110358,5.11113e-006,0.00119019,0
2021-05-31 16:09:12.495440,4500.3594,0.9,13,16,24,-0.000546101,1.62126e-005,0.0219728,-7.62945e-006
2021-05-31 16:24:12.578922,5400.4429,1.1,13,17,24,-2.55705e-005,2.4438e-006,0.000122071,0
2021-05-31 16:39:12.651403,6300.5154,1.3,13,17,24,-0.000129641,1.44244e-005,0.000442507,-7.62945e-006
2021-05-31 16:54:12.727884,7200.5919,1.5,13,17,24,-0.0010922,0.000104309,0.0154801,-7.62944e-005
