Date_time,Time,V_input,TC,SENS_X3,SENS_X1,X3,Y3,X1_ref,Y1_ref
2021-05-06 12:34:37.294678,900.0145,0.1,13,15,24,5.96051e-008,0,0.0051575,0
2021-05-06 12:49:37.362159,1800.082,0.3,13,15,24,1.31131e-006,0,0.0155106,1.52589e-005
2021-05-06 13:04:37.435640,2700.1554,0.5,13,15,24,2.74183e-006,2.23519e-008,0.0257951,2.28883e-005
2021-05-06 13:19:37.512122,3600.2319,0.7,13,15,24,3.03985e-006,8.19568e-008,0.036011,3.81472e-005
2021-05-06 13:34:37.590603,4500.3104,0.9,13,15,24,3.09946e-006,1.41562e-007,0.046242,4.57766e-005
2021-05-06 13:49:37.670085,5400.3899,1.1,13,15,24,2.86849e-006,2.98025e-007,0.0565035,5.3406e-005
2021-05-06 14:04:37.743566,6300.4634,1.3,13,15,24,2.80143e-006,2.45871e-007,0.0668569,6.8665e-005
2021-05-06 14:19:37.818047,7200.5378,1.5,13,15,24,2.15323e-006,5.66248e-007,0.0770726,8.39238e-005
