Date Time RTDl RTDr Vsamp
2020-07-08 12:35:17.381925 1092.3141 1092.42709 1.34123197e-06
2020-07-08 12:35:17.460929 1092.31241 1092.42891 9.69722776e-07
2020-07-08 12:35:17.545934 1092.31602 1092.42978 9.05785505e-07
2020-07-08 12:35:17.614938 1092.31499 1092.42983 8.68769191e-07
2020-07-08 12:35:17.693943 1092.31403 1092.42834 9.19919007e-07
2020-07-08 12:35:17.771947 1092.31255 1092.42856 9.90586517e-07
2020-07-08 12:35:17.839951 1092.31233 1092.42907 9.44820892e-07
2020-07-08 12:35:17.924956 1092.31329 1092.43084 1.060581e-06
2020-07-08 12:35:17.979959 1092.31123 1092.43151 9.8251023e-07
2020-07-08 12:35:18.047963 1092.31189 1092.43084 8.80210597e-07
2020-07-08 12:35:18.136968 1092.31049 1092.42996 9.01747362e-07
2020-07-08 12:35:18.214972 1092.31101 1092.42708 9.48186011e-07
2020-07-08 12:35:18.302977 1092.31336 1092.42701 1.1420169e-06
2020-07-08 12:35:18.373981 1092.31351 1092.42989 1.15951552e-06
2020-07-08 12:35:18.434985 1092.31255 1092.43025 1.22951e-06
2020-07-08 12:35:18.510989 1092.31071 1092.43158 1.19922393e-06
2020-07-08 12:35:18.595994 1092.31005 1092.42922 1.27056446e-06
2020-07-08 12:35:18.657998 1092.31145 1092.42959 1.13595968e-06
2020-07-08 12:35:18.733002 1092.31163 1092.42922 9.50876532e-07
2020-07-08 12:35:18.822007 1092.31217 1092.4293 9.71738009e-07
2020-07-08 12:35:18.892011 1092.31432 1092.42893 1.08749693e-06
2020-07-08 12:35:18.968015 1092.3134 1092.42863 1.03567356e-06
2020-07-08 12:35:19.045020 1092.31532 1092.42981 9.90580983e-07
2020-07-08 12:35:19.114024 1092.31657 1092.42856 9.0645305e-07
2020-07-08 12:35:19.175027 1092.31628 1092.42907 1.00606052e-06
2020-07-08 12:35:19.253032 1092.31429 1092.42915 1.07605496e-06
2020-07-08 12:35:19.326036 1092.31546 1092.4318 1.02625123e-06
2020-07-08 12:35:19.394040 1092.31517 1092.43232 9.76447491e-07
2020-07-08 12:35:19.460044 1092.3123 1092.43283 8.68090713e-07
2020-07-08 12:35:19.539048 1092.31185 1092.43047 6.54069252e-07
2020-07-08 12:35:19.601052 1092.30979 1092.42937 6.33878548e-07
2020-07-08 12:35:19.662055 1092.31355 1092.42944 7.58387889e-07
2020-07-08 12:35:19.736059 1092.31458 1092.43151 7.80597663e-07
2020-07-08 12:35:19.800063 1092.31502 1092.43179 9.18567473e-07
2020-07-08 12:35:19.877067 1092.31694 1092.42986 9.09818168e-07
2020-07-08 12:35:19.953072 1092.31591 1092.42881 9.1991352e-07
2020-07-08 12:35:20.020076 1092.3148 1092.42933 1.09557264e-06
2020-07-08 12:35:20.100080 1092.31399 1092.42903 1.3122862e-06
2020-07-08 12:35:20.176085 1092.31495 1092.4288 1.28334619e-06
2020-07-08 12:35:20.252089 1092.31303 1092.42777 1.15479871e-06
2020-07-08 12:35:20.314092 1092.31296 1092.42726 1.07807403e-06
2020-07-08 12:35:20.384096 1092.31163 1092.42932 1.10634102e-06
2020-07-08 12:35:20.456101 1092.31502 1092.42903 1.20258337e-06
2020-07-08 12:35:20.560107 1092.31355 1092.42947 1.18239267e-06
2020-07-08 12:35:20.649112 1092.31495 1092.4305 1.15076057e-06
2020-07-08 12:35:20.714115 1092.312 1092.43146 1.09691869e-06
2020-07-08 12:35:20.787120 1092.31384 1092.43065 1.00202238e-06
2020-07-08 12:35:20.861124 1092.31274 1092.4288 9.80485631e-07
2020-07-08 12:35:20.945129 1092.31259 1092.4288 9.25970803e-07
2020-07-08 12:35:21.038134 1092.31297 1092.43013 1.00942582e-06
2020-07-08 12:35:21.117138 1092.31478 1092.42976 1.12182079e-06
2020-07-08 12:35:21.188142 1092.31598 1092.42829 1.09961104e-06
2020-07-08 12:35:21.265147 1092.3146 1092.42755 1.05586451e-06
2020-07-08 12:35:21.333151 1092.31454 1092.42866 8.97703993e-07
2020-07-08 12:35:21.416155 1092.31225 1092.43138 9.81831928e-07
2020-07-08 12:35:21.519161 1092.31085 1092.43124 1.05384544e-06
2020-07-08 12:35:21.595166 1092.31174 1092.43264 1.12787802e-06
2020-07-08 12:35:21.674170 1092.31174 1092.43345 1.15277989e-06
2020-07-08 12:35:21.758175 1092.31579 1092.43264 1.23085062e-06
2020-07-08 12:35:21.830179 1092.31528 1092.43367 1.12383988e-06
2020-07-08 12:35:21.917184 1092.31609 1092.43242 9.26644003e-07
2020-07-08 12:35:21.990188 1092.31668 1092.43256 7.13968582e-07
2020-07-08 12:35:22.060192 1092.3183 1092.43013 7.95404423e-07
2020-07-08 12:35:22.123196 1092.31609 1092.42822 9.52891918e-07
2020-07-08 12:35:22.207201 1092.31727 1092.42822 1.08682359e-06
2020-07-08 12:35:22.276205 1092.31609 1092.43021 1.01346403e-06
2020-07-08 12:35:22.353209 1092.31564 1092.43131 8.62706772e-07
2020-07-08 12:35:22.424213 1092.31506 1092.43168 8.45881185e-07
2020-07-08 12:35:22.498217 1092.3141 1092.43124 1.00134961e-06
2020-07-08 12:35:22.575222 1092.31366 1092.42763 9.44142613e-07
2020-07-08 12:35:22.645226 1092.31513 1092.42799 9.1452958e-07
2020-07-08 12:35:22.722230 1092.31513 1092.42733 9.36066331e-07
2020-07-08 12:35:22.790234 1092.31815 1092.4291 9.86543093e-07
2020-07-08 12:35:22.873239 1092.31881 1092.42917 1.03028962e-06
2020-07-08 12:35:22.944243 1092.3141 1092.43153 1.07538219e-06
2020-07-08 12:35:23.014247 1092.31528 1092.43197 1.06057568e-06
2020-07-08 12:35:23.082251 1092.31454 1092.43219 1.11037941e-06
2020-07-08 12:35:23.140254 1092.31579 1092.43308 1.0935538e-06
2020-07-08 12:35:23.217259 1092.31535 1092.43072 1.2483491e-06
2020-07-08 12:35:23.277262 1092.31461 1092.43367 1.2698858e-06
2020-07-08 12:35:23.348266 1092.31373 1092.43183 1.32574667e-06
2020-07-08 12:35:23.435271 1092.31382 1092.43109 1.36478203e-06
2020-07-08 12:35:23.538277 1092.31826 1092.42836 1.15681778e-06
2020-07-08 12:35:23.614281 1092.31914 1092.42829 1.06461356e-06
2020-07-08 12:35:23.694286 1092.31738 1092.42976 9.87888889e-07
2020-07-08 12:35:23.770290 1092.31627 1092.43138 1.13999219e-06
2020-07-08 12:35:23.854295 1092.31598 1092.42998 1.08682334e-06
2020-07-08 12:35:23.939300 1092.31583 1092.43006 1.18643081e-06
2020-07-08 12:35:24.012304 1092.31465 1092.43138 1.2550792e-06
2020-07-08 12:35:24.086308 1092.31502 1092.42991 1.27930805e-06
2020-07-08 12:35:24.154312 1092.31657 1092.42976 1.19585314e-06
2020-07-08 12:35:24.219316 1092.31627 1092.42748 8.95011652e-07
2020-07-08 12:35:24.294320 1092.31811 1092.42652 8.66744666e-07
2020-07-08 12:35:24.362324 1092.31679 1092.42733 8.1896e-07
2020-07-08 12:35:24.431328 1092.31612 1092.42991 9.15202355e-07
2020-07-08 12:35:24.499332 1092.31465 1092.43273 9.69044232e-07
2020-07-08 12:35:24.584337 1092.31362 1092.43533 1.08749636e-06
2020-07-08 12:35:24.664341 1092.31354 1092.43638 9.7442842e-07
2020-07-08 12:35:24.737345 1092.31281 1092.43441 1.07201682e-06
2020-07-08 12:35:24.800349 1092.31642 1092.43301 1.134608e-06
2020-07-08 12:35:24.865353 1092.31517 1092.43338 1.04173077e-06
2020-07-08 12:35:24.942357 1092.31531 1092.43301 1.03298146e-06
2020-07-08 12:35:25.029362 1092.31642 1092.4308 7.08584152e-07
2020-07-08 12:35:25.088366 1092.31826 1092.43095 6.42627853e-07
2020-07-08 12:35:25.148369 1092.31988 1092.42991 6.91085542e-07
2020-07-08 12:35:25.233374 1092.31907 1092.43264 8.89627464e-07
2020-07-08 12:35:25.296377 1092.3162 1092.43212 1.05855635e-06
2020-07-08 12:35:25.363381 1092.3145 1092.43367 1.34593712e-06
2020-07-08 12:35:25.435385 1092.31517 1092.43301 1.46506191e-06
2020-07-08 12:35:25.501389 1092.3159 1092.4322 1.53034481e-06
2020-07-08 12:35:25.568393 1092.31568 1092.43161 1.56197668e-06
2020-07-08 12:35:25.639397 1092.31664 1092.43301 1.20662034e-06
2020-07-08 12:35:25.721402 1092.31833 1092.43198 1.08076496e-06
2020-07-08 12:35:25.809407 1092.31964 1092.43382 9.65677968e-07
2020-07-08 12:35:25.881411 1092.31764 1092.43198 1.08345706e-06
2020-07-08 12:35:25.966416 1092.31718 1092.43271 1.0989366e-06
2020-07-08 12:35:26.046420 1092.31385 1092.43161 1.32507245e-06
2020-07-08 12:35:26.131425 1092.31378 1092.43279 1.03096124e-06
