R,X2,Y2,freq,modified X2,modified Y2,theta,theta_smooth
0.0002941670146872351,-0.00022077700000000002,-0.000194401,10.0,0.00019440100000000002,-0.000220777,0.7219540470684238,0.7219540470684238
0.0002690585569592612,-0.000210972,-0.000166983,11.931,0.000166983,-0.00021097199999999997,0.6695325834298084,0.6695325834298084
0.0002451481360035193,-0.000200481,-0.000141085,14.235999999999999,0.000141085,-0.000200481,0.6132266233582286,0.6132266233582286
0.00022216480391367126,-0.000189097,-0.00011661700000000001,16.986,0.00011661700000000003,-0.000189097,0.5526118715000772,0.5526118715000772
0.00020029771276836887,-0.00017696700000000002,-9.38182e-05,20.26,9.381820000000002e-05,-0.000176967,0.48747190575108235,0.48747190575108235
0.00017939273439214308,-0.00016403299999999998,-7.26287e-05,24.18,7.262870000000003e-05,-0.00016403299999999998,0.41682423796582835,0.41682423796582835
0.00015955471326338185,-0.000150383,-5.33166e-05,28.85,5.331660000000001e-05,-0.000150383,0.34071250814213067,0.34071250814213067
0.00014092672341908753,-0.000136227,-3.60908e-05,34.42,3.60908e-05,-0.00013622699999999997,0.25898156331826644,0.25898156331826644
0.00012341028388951223,-0.000121624,-2.0921300000000002e-05,41.07,2.0921300000000013e-05,-0.000121624,0.17034908405148963,0.17034908405148963
0.0001071722666968204,-0.000106872,-8.01688e-06,49.01,8.016880000000015e-06,-0.00010687199999999999,0.07487361857728084,0.07487361857728084
9.215672515896169e-05,-9.21194e-05,2.62262e-06,58.48,-2.6226199999999854e-06,-9.211940000000002e-05,-0.028462102169256695,-0.028462102169256695
7.849069362835316e-05,-7.77249e-05,1.09375e-05,69.77,-1.0937499999999991e-05,-7.77249e-05,-0.13980268778092447,-0.13980268778092447
6.608736566848462e-05,-6.38668e-05,1.69874e-05,83.25,-1.6987399999999993e-05,-6.38668e-05,-0.2599627905122355,-0.2599627905122355
5.4956538972992105e-05,-5.0843e-05,2.08617e-05,99.33,-2.0861699999999997e-05,-5.0843e-05,-0.38936778663566907,-0.38936778663566907
4.51513876041479e-05,-3.87433e-05,2.3186300000000002e-05,118.52,-2.3186300000000005e-05,-3.8743300000000006e-05,-0.5392860868479001,-0.5392860868479001
3.65447586340367e-05,-2.82229e-05,2.3216100000000003e-05,141.42,-2.3216100000000006e-05,-2.8222899999999994e-05,-0.6883691051738487,-0.6883691051738487
2.916022739691856e-05,-1.92822e-05,2.1875e-05,168.73,-2.1875e-05,-1.92822e-05,-0.8483125050965249,-0.8483125050965249
2.286291550262127e-05,-1.1950799999999999e-05,1.94908e-05,201.3,-1.9490799999999996e-05,-1.19508e-05,-1.0207631806903632,-1.0207631806903632
1.7650365689537427e-05,-6.31812e-06,1.64808e-05,240.2,-1.64808e-05,-6.318119999999997e-06,-1.2047144178114813,-1.2047144178114813
1.3331612608611908e-05,-2.23519e-06,1.3142899999999999e-05,286.6,-1.3142899999999999e-05,-2.2351899999999995e-06,-1.4023398376347984,-1.4023398376347984
9.904523567757764e-06,4.47037e-07,9.89443e-06,341.9,-9.89443e-06,4.470369999999984e-07,1.525646359171561,-1.6159462944182321
7.180416032361913e-06,1.9371700000000003e-06,6.914169999999999e-06,408.0,-6.914169999999999e-06,1.9371700000000003e-06,1.2976263701071267,-1.8439662834826664
5.097628111631919e-06,2.50341e-06,4.440580000000001e-06,486.8,-4.4405800000000015e-06,2.503409999999998e-06,1.0574521752948216,-2.0841404782949713
4.942636940510602e-06,2.50341e-06,4.26176e-06,580.9,-4.261760000000001e-06,2.5034099999999995e-06,1.039683949457812,-2.101908704131981
2.3621174540864814e-06,2.05637e-06,1.1623e-06,693.1,-1.1623000000000005e-06,2.05637e-06,0.5144527552185751,-2.627139898371218
1.554881907679487e-06,1.51993e-06,3.2782699999999996e-07,827.0,-3.2782700000000097e-07,1.5199299999999998e-06,0.21243136717603714,-2.929161286413756
1.0172267727870515e-06,1.0132899999999998e-06,-8.94074e-08,986.7,8.940739999999968e-08,1.0132899999999998e-06,-0.08800684357507839,-3.2295994971648714
6.265623474427745e-07,5.66248e-07,-2.68223e-07,1177.4,2.682229999999995e-07,5.662480000000002e-07,-0.44237460254910194,-3.583967256138895
3.5886999613927045e-07,2.3842e-07,-2.68223e-07,1404.8,2.6822300000000003e-07,2.384199999999999e-07,-0.8441549117461941,-3.9857475653359873
2.2696857902308856e-07,8.94074e-08,-2.08617e-07,1676.2,2.08617e-07,8.940739999999997e-08,-1.1659040776918022,-4.307496731281596
