Date_time Time TC SENS Lockin1f Lockin2f X3 Y3 X3_ref Y3_ref
2021-06-01 16:30:08.389070 2765.9952058792114 15 17 0.01 0.0099 -0.00036359 9.5368e-06 -0.000241221 7.45061e-06
2021-06-01 17:12:33.714655 5311.320790052414 15 17 0.0158 0.0157 -0.000365259 1.17422e-05 -0.000242532 8.94075e-06
2021-06-01 17:53:58.987804 7796.593939304352 15 17 0.0251 0.025 -0.000355722 1.31727e-05 -0.000236155 9.95403e-06
2021-06-01 18:34:39.177375 10236.783510446548 15 17 0.0398 0.0398 -0.000354769 1.31131e-05 -0.000236631 9.59641e-06
2021-06-01 19:15:19.340944 12676.947079658508 15 17 0.0631 0.0631 -0.000349523 1.49608e-05 -0.000231327 1.1623e-05
2021-06-01 19:35:59.999906 13917.605041265488 14 21 0.1 0.0999 -0.000351908 1.52589e-05 -0.00023079 1.14442e-05
2021-06-01 19:56:20.148694 15137.754829883575 14 21 0.1585 0.1585 -0.000347139 1.71663e-05 -0.000231744 1.23978e-05
2021-06-01 20:16:40.293483 16357.898617982864 14 21 0.2512 0.2512 -0.000343325 1.71663e-05 -0.000229836 1.23978e-05
2021-06-01 20:37:00.440271 17578.046406507492 14 21 0.3981 0.398 -0.000334742 1.71663e-05 -0.000224114 1.23978e-05
2021-06-01 20:57:20.585059 18798.19219493866 14 21 0.631 0.631 -0.000328066 1.71663e-05 -0.000219346 1.23978e-05
2021-06-01 21:17:21.176729 19998.783864736557 13 20 1.0 0.631 -0.000324251 1.85968e-05 -0.000216485 1.28747e-05
2021-06-01 21:37:21.307373 21198.913508176804 13 20 1.5849 0.9999 -0.000322821 1.85968e-05 -0.000214101 1.28747e-05
2021-06-01 21:57:21.438016 22399.044152021408 13 20 2.511 1.5849 -0.000318529 1.71663e-05 -0.000211717 1.1921e-05
2021-06-01 22:17:26.583947 23604.19008231163 13 20 3.981 3.9809 -0.000318052 1.57357e-05 -0.00021124 1.14442e-05
2021-06-01 22:37:31.731877 24809.33801293373 13 20 6.309 6.309 -0.000315668 1.43052e-05 -0.000209809 1.00136e-05
2021-06-01 22:47:37.321515 25414.92765045166 11 20 10.0 9.9998 -0.000318052 1.1921e-05 -0.000213147 1.33515e-05
2021-06-01 22:57:42.469128 26020.075262784958 11 20 15.848 15.8477 -0.000311853 1.1921e-05 -0.000206948 1.04905e-05
2021-06-01 23:07:47.615740 26625.221875429153 11 20 25.11 25.1093 -0.000310423 1.43052e-05 -0.000198842 9.05996e-06
2021-06-01 23:17:52.772353 27230.37648844719 11 20 39.81 39.8083 -0.000306608 1.28747e-05 -0.000199796 1.00136e-05
2021-06-01 23:27:57.921966 27835.528100967407 11 20 63.09 63.0875 -0.000305178 1.28747e-05 -0.000200749 9.05996e-06
