Date_time Time TC SENS Lockin1f Lockin2f X1(h) Y1(h) X2(t) Y2(t)
2020-02-27 15:45:39.009454 185.82862854003906 11 16 11.57 11.5695 0.463564 -0.0126343 0.000194401 0.000130893
2020-02-27 15:48:49.225334 376.0435082912445 11 16 21.57 21.5697 0.461611 -0.0340579 0.000157238 3.20973e-05
2020-02-27 15:51:59.438214 566.2543878555298 11 16 31.57 31.5695 0.455935 -0.0615237 -2.62262e-06 2.86998e-05
2020-02-27 15:55:09.644093 756.4642672538757 11 16 41.57 41.5688 0.438234 -0.107178 8.90498e-05 4.60746e-05
2020-02-27 15:58:19.861972 946.6801469326019 11 16 51.57 51.569 0.353151 -0.199037 8.48477e-05 1.95206e-05
2020-02-27 16:01:30.070852 1136.8910262584686 11 16 61.57 61.5673 0.00268556 0.0294801 7.50427e-05 5.24524e-06
2020-02-27 16:04:40.277731 1327.0979056358337 11 16 71.57 71.5694 0.339113 0.204835 6.55656e-05 -3.51669e-06
2020-02-27 16:07:50.481610 1517.3017845153809 11 16 81.57 81.5697 0.419802 0.135438 5.71611e-05 -9.20898e-06
2020-02-27 16:11:00.701490 1707.5206644535065 11 16 91.57 91.568 0.441286 0.0985723 4.98297e-05 -1.29939e-05
2020-02-27 16:14:06.462115 1893.2802891731262 10 16 101.57 101.572 0.45038 0.0776372 4.32732e-05 -1.59444e-05
2020-02-27 16:17:16.668994 2083.4881687164307 10 16 201.5 201.492 0.46277 0.0198976 1.07885e-05 -1.65106e-05
2020-02-27 16:20:38.412533 2285.2307076454163 10 16 301.5 301.502 0.464052 0.00482181 1.34111e-06 -1.05203e-05
2020-02-27 16:23:48.642414 2475.4585881233215 10 16 401.5 401.507 0.464174 -0.00555423 -1.51993e-06 -6.22871e-06
2020-02-27 16:26:58.871294 2665.690468788147 10 16 501.5 501.494 0.464357 -0.0121461 -2.17558e-06 -3.57629e-06
2020-02-27 16:30:04.029885 2850.84805893898 10 16 601.5 601.496 0.464479 -0.0160524 -2.08618e-06 -2.3246e-06
2020-02-27 16:33:09.181475 3036.000649213791 10 16 701.5 701.477 0.463808 -0.0254518 -1.81795e-06 -1.2219e-06
2020-02-27 16:36:14.339065 3221.1592395305634 10 16 801.5 801.487 0.463747 -0.0309449 -1.49012e-06 -5.9605e-07
2020-02-27 16:39:19.495655 3406.310829639435 10 16 901.5 901.508 0.463625 -0.0356448 -1.1921e-06 -2.08617e-07
2020-02-27 16:42:24.658246 3591.4764206409454 10 16 1001.5 1001.5 0.463503 -0.0407717 -8.94073e-07 2.98025e-08
2020-02-27 16:45:29.814837 3776.635010957718 10 16 1101.5 1101.52 0.463137 -0.0467532 -6.85457e-07 1.49013e-07
2020-02-27 16:48:34.965427 3961.78360080719 10 16 1201.5 1201.48 0.462893 -0.051636 -5.06643e-07 1.78815e-07
2020-02-27 16:51:40.124017 4146.942191362381 10 16 1301.5 1301.49 0.46277 -0.0557253 -3.87432e-07 2.08617e-07
2020-02-27 16:54:45.278607 4332.096781492233 10 16 1401.5 1401.51 0.462404 -0.0614016 -2.68223e-07 2.08617e-07
2020-02-27 16:57:50.433197 4517.253372192383 10 16 1501.5 1501.46 0.462404 -0.0639653 -2.08617e-07 1.78815e-07
2020-02-27 17:00:55.585788 4702.405962228775 10 16 1601.5 1601.51 0.462282 -0.0670171 -1.49013e-07 1.78815e-07
2020-02-27 17:04:00.739378 4887.554552078247 10 16 1701.5 1701.52 0.46155 -0.0745854 -1.1921e-07 1.78815e-07
2020-02-27 17:07:05.894968 5072.71514248848 10 16 1801.5 1801.49 0.461306 -0.0782475 -8.94074e-08 1.49013e-07
2020-02-27 17:10:11.056559 5257.8767330646515 10 16 1901.5 1901.5 0.460878 -0.0832524 -5.96051e-08 1.49013e-07
