Date_Time,RTD,Vsamp1(R1718),Vsamp2(R1516)
2020-02-27 11:16:32.959953,1100.64944,0.00195146,0.00194526
2020-02-27 11:16:33.531986,1100.64708,0.00195123,0.00194526
2020-02-27 11:16:34.089018,1100.6456,0.00195146,0.00194526
2020-02-27 11:16:34.638049,1100.64715,0.00195146,0.00194526
2020-02-27 11:16:35.205081,1100.6484,0.00195146,0.00194526
2020-02-27 11:16:35.768114,1100.64737,0.00195146,0.00194526
2020-02-27 11:16:36.332146,1100.6484,0.00195146,0.00194526
2020-02-27 11:16:36.892178,1100.65194,0.00195146,0.00194526
2020-02-27 11:16:37.451210,1100.64944,0.00195146,0.00194526
2020-02-27 11:16:38.015242,1100.6484,0.00195146,0.00194526
2020-02-27 11:16:38.575274,1100.64509,0.00195146,0.00194526
2020-02-27 11:16:39.133306,1100.64181,0.00195146,0.00194526
2020-02-27 11:16:39.698338,1100.64343,0.00195146,0.00194526
2020-02-27 11:16:40.258370,1100.64144,0.00195146,0.00194526
2020-02-27 11:16:40.814402,1100.64851,0.00195146,0.00194526
2020-02-27 11:16:41.382435,1100.65583,0.00195146,0.00194526
2020-02-27 11:16:41.937467,1100.65922,0.00195146,0.00194526
2020-02-27 11:16:42.494498,1100.6713,0.00195146,0.00194526
2020-02-27 11:16:43.048530,1100.68118,0.00195146,0.00194526
2020-02-27 11:16:43.621563,1100.70075,0.00195146,0.00194526
2020-02-27 11:16:44.171594,1100.71128,0.00195146,0.00194526
2020-02-27 11:16:44.743627,1100.73634,0.00195146,0.0019455
2020-02-27 11:16:45.318660,1100.75543,0.00195146,0.0019455
2020-02-27 11:16:45.872692,1100.78298,0.00195146,0.0019455
2020-02-27 11:16:46.434724,1100.80782,0.00195146,0.0019455
2020-02-27 11:16:46.995756,1100.84076,0.00195146,0.0019455
2020-02-27 11:16:47.555788,1100.86965,0.0019517,0.0019455
2020-02-27 11:16:48.115820,1100.9028,0.0019517,0.0019455
2020-02-27 11:16:48.663851,1100.93736,0.0019517,0.0019455
2020-02-27 11:16:49.220883,1100.97893,0.0019517,0.0019455
2020-02-27 11:16:49.776915,1101.01482,0.0019517,0.0019455
2020-02-27 11:16:50.346947,1101.05844,0.0019517,0.0019455
2020-02-27 11:16:50.921980,1101.09858,0.0019517,0.0019455
2020-02-27 11:16:51.476012,1101.15695,0.0019517,0.0019455
2020-02-27 11:16:52.025043,1101.2047,0.0019517,0.0019455
2020-02-27 11:16:52.572075,1101.25565,0.0019517,0.0019455
2020-02-27 11:16:53.139107,1101.30756,0.0019517,0.00194574
2020-02-27 11:16:53.691139,1101.36689,0.0019517,0.00194574
2020-02-27 11:16:54.261171,1101.42319,0.0019517,0.00194574
2020-02-27 11:16:54.833204,1101.48365,0.00195194,0.00194574
2020-02-27 11:16:55.387236,1101.55238,0.00195194,0.00194574
2020-02-27 11:16:55.937267,1101.61554,0.00195194,0.00194598
2020-02-27 11:16:56.513300,1101.68629,0.00195218,0.00194598
2020-02-27 11:16:57.089333,1101.7614,0.00195218,0.00194598
2020-02-27 11:16:57.655366,1101.8298,0.00195218,0.00194598
2020-02-27 11:16:58.211397,1101.91087,0.00195218,0.00194598
2020-02-27 11:16:58.788430,1101.98456,0.00195218,0.00194598
