Date Time RTDl RTDr Vsamp
2020-06-23 11:59:50.728057 1090.70175 1090.86926 2.45241712e-06
2020-06-23 11:59:50.837063 1090.69932 1090.87213 2.67047736e-06
2020-06-23 11:59:50.898067 1090.69947 1090.86926 2.68662997e-06
2020-06-23 11:59:50.969071 1090.69983 1090.86889 2.60855902e-06
2020-06-23 11:59:51.055076 1090.7005 1090.86661 2.64086424e-06
2020-06-23 11:59:51.126080 1090.6988 1090.86631 2.44770594e-06
2020-06-23 11:59:51.189084 1090.69873 1090.868 2.38107642e-06
2020-06-23 11:59:51.259088 1090.69983 1090.86754 2.43020728e-06
2020-06-23 11:59:51.329092 1090.70153 1090.86781 2.5365453e-06
2020-06-23 11:59:51.404096 1090.70308 1090.86891 2.65634383e-06
2020-06-23 11:59:51.480100 1090.70249 1090.86692 2.74720226e-06
2020-06-23 11:59:51.561105 1090.70227 1090.86648 2.68057275e-06
2020-06-23 11:59:51.628109 1090.70418 1090.8667 2.67518854e-06
2020-06-23 11:59:51.704113 1090.70234 1090.86544 2.37569222e-06
2020-06-23 11:59:51.788118 1090.70241 1090.86338 2.528469e-06
2020-06-23 11:59:51.889124 1090.7033 1090.8622 2.31310085e-06
2020-06-23 11:59:51.968128 1090.70499 1090.86228 2.50154798e-06
2020-06-23 11:59:52.049133 1090.70433 1090.86441 2.32521531e-06
2020-06-23 11:59:52.107136 1090.69865 1090.86603 2.27743051e-06
2020-06-23 11:59:52.182140 1090.69711 1090.86743 2.44434082e-06
2020-06-23 11:59:52.269145 1090.6977 1090.86625 2.29560219e-06
2020-06-23 11:59:52.347150 1090.69932 1090.86736 2.36559684e-06
2020-06-23 11:59:52.397153 1090.70168 1090.86729 2.25925882e-06
2020-06-23 11:59:52.481157 1090.70079 1090.86537 2.31242803e-06
2020-06-23 11:59:52.548161 1090.69954 1090.86508 2.35954001e-06
2020-06-23 11:59:52.614165 1090.70028 1090.86485 2.28214222e-06
2020-06-23 11:59:52.693170 1090.6991 1090.86456 2.34069556e-06
2020-06-23 11:59:52.768174 1090.70079 1090.86618 2.22897333e-06
2020-06-23 11:59:52.844178 1090.70006 1090.86655 2.38175012e-06
2020-06-23 11:59:52.906182 1090.69968 1090.86508 2.27675814e-06
2020-06-23 11:59:52.981186 1090.70108 1090.86449 2.23435754e-06
2020-06-23 11:59:53.051190 1090.70093 1090.86434 2.28214235e-06
2020-06-23 11:59:53.128194 1090.70211 1090.86463 2.36896263e-06
2020-06-23 11:59:53.197198 1090.70292 1090.86382 2.40530601e-06
2020-06-23 11:59:53.273203 1090.70329 1090.86559 2.50693286e-06
2020-06-23 11:59:53.344207 1090.70174 1090.86611 2.53048875e-06
2020-06-23 11:59:53.436212 1090.701 1090.86692 2.53385388e-06
2020-06-23 11:59:53.507216 1090.69776 1090.86766 2.59577222e-06
2020-06-23 11:59:53.583220 1090.6968 1090.86677 2.9807428e-06
2020-06-23 11:59:53.667225 1090.69909 1090.86493 2.9356501e-06
2020-06-23 11:59:53.738229 1090.70005 1090.86751 2.7694128e-06
2020-06-23 11:59:53.827234 1090.69968 1090.86677 2.46655133e-06
2020-06-23 11:59:53.907239 1090.70093 1090.86839 2.53318085e-06
2020-06-23 11:59:53.986244 1090.70056 1090.86721 2.57760054e-06
2020-06-23 11:59:54.068248 1090.70181 1090.86714 2.64019191e-06
2020-06-23 11:59:54.138252 1090.69997 1090.86662 2.51770127e-06
2020-06-23 11:59:54.214257 1090.69968 1090.86618 2.61528996e-06
2020-06-23 11:59:54.290261 1090.69924 1090.86412 2.39319155e-06
2020-06-23 11:59:54.363265 1090.70041 1090.86257 2.33060018e-06
2020-06-23 11:59:54.440270 1090.70071 1090.86301 2.28752655e-06
2020-06-23 11:59:54.510274 1090.69776 1090.865 2.15897868e-06
2020-06-23 11:59:54.582278 1090.69784 1090.86375 2.49683748e-06
2020-06-23 11:59:54.674283 1090.69761 1090.86404 2.52914312e-06
2020-06-23 11:59:54.752287 1090.70041 1090.86471 2.72701304e-06
2020-06-23 11:59:54.839292 1090.70056 1090.86567 2.69268915e-06
2020-06-23 11:59:54.914297 1090.70041 1090.86537 2.61259923e-06
2020-06-23 11:59:54.984301 1090.69725 1090.86419 2.61192621e-06
2020-06-23 11:59:55.065305 1090.69747 1090.86412 2.63413605e-06
2020-06-23 11:59:55.135309 1090.69636 1090.86382 2.62336764e-06
2020-06-23 11:59:55.249316 1090.69717 1090.86552 2.44232376e-06
2020-06-23 11:59:55.328320 1090.69887 1090.86537 2.32589034e-06
2020-06-23 11:59:55.395324 1090.69894 1090.86603 2.3144489e-06
2020-06-23 11:59:55.492330 1090.69798 1090.86478 2.22426347e-06
2020-06-23 11:59:55.568334 1090.69636 1090.86567 2.26801014e-06
2020-06-23 11:59:55.638338 1090.69585 1090.86662 2.37636725e-06
2020-06-23 11:59:55.706342 1090.69673 1090.86714 2.46924478e-06
2020-06-23 11:59:55.790347 1090.69658 1090.8664 2.48607042e-06
2020-06-23 11:59:55.862351 1090.69857 1090.86625 2.37905936e-06
2020-06-23 11:59:55.928355 1090.69924 1090.86589 2.28887393e-06
2020-06-23 11:59:55.984358 1090.69784 1090.86618 2.27070224e-06
2020-06-23 11:59:56.059362 1090.69887 1090.86603 2.28147065e-06
2020-06-23 11:59:56.132366 1090.69629 1090.86537 2.43626653e-06
2020-06-23 11:59:56.207371 1090.69503 1090.86596 2.70614979e-06
2020-06-23 11:59:56.284375 1090.69452 1090.86323 2.8353707e-06
2020-06-23 11:59:56.356379 1090.69437 1090.86272 2.58231308e-06
2020-06-23 11:59:56.433384 1090.69658 1090.86272 2.38848171e-06
2020-06-23 11:59:56.501387 1090.69842 1090.86294 2.27070224e-06
2020-06-23 11:59:56.564391 1090.70145 1090.86544 2.42549812e-06
2020-06-23 11:59:56.635395 1090.70196 1090.86751 2.62605974e-06
2020-06-23 11:59:56.718400 1090.70145 1090.8681 2.19666942e-06
2020-06-23 11:59:56.787404 1090.70189 1090.86928 2.16840235e-06
2020-06-23 11:59:56.855408 1090.70999 1090.86788 1.89717292e-06
2020-06-23 11:59:56.936412 1090.72274 1090.86522 1.90861417e-06
2020-06-23 11:59:56.993416 1090.7254 1090.86368 2.01831713e-06
2020-06-23 11:59:57.068420 1090.72473 1090.86478 2.18253523e-06
2020-06-23 11:59:57.141424 1090.69275 1090.86684 2.43693888e-06
2020-06-23 11:59:57.208428 1090.68722 1090.87068 2.49616513e-06
2020-06-23 11:59:57.294433 1090.68022 1090.87267 2.53856574e-06
2020-06-23 11:59:57.373437 1090.68523 1090.87245 2.47395529e-06
2020-06-23 11:59:57.447442 1090.69931 1090.87053 2.64490377e-06
2020-06-23 11:59:57.522446 1090.70056 1090.86603 2.65903731e-06
2020-06-23 11:59:57.588450 1090.70262 1090.86537 2.76739442e-06
2020-06-23 11:59:57.653453 1090.7019 1090.86382 2.86834825e-06
2020-06-23 11:59:57.723457 1090.69962 1090.86257 2.79498847e-06
2020-06-23 11:59:57.793461 1090.69471 1090.86338 2.70211094e-06
2020-06-23 11:59:57.872466 1090.68565 1090.86456 2.77614375e-06
2020-06-23 11:59:57.942470 1090.67946 1090.86456 2.56615978e-06
2020-06-23 11:59:58.011474 1090.68373 1090.86692 2.32656269e-06
2020-06-23 11:59:58.100479 1090.6911 1090.8667 1.78141201e-06
2020-06-23 11:59:58.182484 1090.70481 1090.86707 1.46441699e-06
2020-06-23 11:59:58.272489 1090.70923 1090.86632 1.34529147e-06
2020-06-23 11:59:58.338492 1090.70967 1090.8665 1.17299693e-06
2020-06-23 11:59:58.398496 1090.71071 1090.86587 1.22885805e-06
2020-06-23 11:59:58.479501 1090.71365 1090.8654 1.51354785e-06
2020-06-23 11:59:58.539504 1090.71424 1090.86664 1.61652076e-06
2020-06-23 11:59:58.603508 1090.71093 1090.86561 1.89784543e-06
2020-06-23 11:59:58.688512 1090.71137 1090.86392 2.09908006e-06
2020-06-23 11:59:58.755516 1090.70474 1090.86303 2.0553334e-06
2020-06-23 11:59:58.823520 1090.70422 1090.86458 2.16907472e-06
2020-06-23 11:59:58.902525 1090.70312 1090.86591 2.2659904e-06
2020-06-23 11:59:58.970529 1090.70474 1090.8637 2.28887326e-06
2020-06-23 11:59:59.050533 1090.70592 1090.86421 2.25185582e-06
2020-06-23 11:59:59.122537 1090.70326 1090.86546 2.30098504e-06
2020-06-23 11:59:59.203542 1090.70481 1090.86554 2.22089347e-06
2020-06-23 11:59:59.277546 1090.7054 1090.8704 2.27406144e-06
2020-06-23 11:59:59.345550 1090.70341 1090.87114 2.208778e-06
2020-06-23 11:59:59.433555 1090.70275 1090.87018 2.23098783e-06
2020-06-23 11:59:59.509559 1090.70326 1090.86812 2.0829223e-06
2020-06-23 11:59:59.604565 1090.70511 1090.86687 2.74921721e-06
2020-06-23 11:59:59.688570 1090.68911 1090.86642 2.91208931e-06
2020-06-23 11:59:59.778575 1090.6858 1090.86672 3.0056398e-06
2020-06-23 11:59:59.854579 1090.68248 1090.86745 2.8743999e-06
2020-06-23 11:59:59.912583 1090.6967 1090.8676 2.94237544e-06
2020-06-23 11:59:59.991587 1090.69914 1090.8679 3.53059944e-06
2020-06-23 12:00:00.070592 1090.6966 1090.86672 3.06688509e-06
2020-06-23 12:00:00.141596 1090.69942 1090.86488 2.3104048e-06
2020-06-23 12:00:00.207599 1090.70084 1090.8651 2.14685969e-06
2020-06-23 12:00:00.286604 1090.70025 1090.86598 1.83928718e-06
2020-06-23 12:00:00.340607 1090.70216 1090.86679 2.28415682e-06
2020-06-23 12:00:00.431612 1090.70106 1090.86598 2.52106168e-06
2020-06-23 12:00:00.504616 1090.70032 1090.86827 2.49615975e-06
2020-06-23 12:00:00.581621 1090.69811 1090.8676 2.60047865e-06
2020-06-23 12:00:00.659625 1090.70084 1090.86731 2.52644588e-06
2020-06-23 12:00:00.729629 1090.70091 1090.86723 2.46654664e-06
2020-06-23 12:00:00.804634 1090.70069 1090.86488 2.44231774e-06
2020-06-23 12:00:00.884638 1090.70238 1090.86539 2.44299076e-06
2020-06-23 12:00:00.957642 1090.6998 1090.86591 2.45443219e-06
2020-06-23 12:00:01.033647 1090.69848 1090.86657 2.39924413e-06
2020-06-23 12:00:01.112651 1090.69966 1090.86841 2.53250311e-06
2020-06-23 12:00:01.182655 1090.69774 1090.86797 2.5937484e-06
2020-06-23 12:00:01.251659 1090.69921 1090.86613 2.51298531e-06
2020-06-23 12:00:01.317663 1090.70106 1090.86451 2.65903155e-06
2020-06-23 12:00:01.383667 1090.6998 1090.86664 2.63009133e-06
2020-06-23 12:00:01.462671 1090.69892 1090.86731 2.79969344e-06
2020-06-23 12:00:01.523675 1090.70165 1090.8665 2.69873961e-06
2020-06-23 12:00:01.600679 1090.70047 1090.86561 2.76402304e-06
2020-06-23 12:00:01.676683 1090.69958 1090.86502 2.50760047e-06
2020-06-23 12:00:01.744687 1090.69943 1090.86406 2.41068485e-06
2020-06-23 12:00:01.826692 1090.69774 1090.86716 2.42347233e-06
2020-06-23 12:00:01.891696 1090.69663 1090.86812 2.35011259e-06
2020-06-23 12:00:01.955699 1090.69759 1090.86885 2.59105559e-06
2020-06-23 12:00:02.034704 1090.69686 1090.86915 2.51769585e-06
2020-06-23 12:00:02.102708 1090.70039 1090.86664 2.69402843e-06
2020-06-23 12:00:02.169712 1090.70002 1090.86635 2.56413458e-06
2020-06-23 12:00:02.263717 1090.70157 1090.86812 2.48135249e-06
2020-06-23 12:00:02.335721 1090.69885 1090.86723 2.50019719e-06
2020-06-23 12:00:02.405725 1090.697 1090.8676 2.27136865e-06
2020-06-23 12:00:02.482730 1090.69892 1090.86642 2.38982107e-06
2020-06-23 12:00:02.562734 1090.70084 1090.86591 2.35616982e-06
2020-06-23 12:00:02.651739 1090.70231 1090.86694 2.40193553e-06
2020-06-23 12:00:02.731744 1090.70378 1090.86635 2.40462763e-06
2020-06-23 12:00:02.811748 1090.70378 1090.86694 2.4039546e-06
2020-06-23 12:00:02.899753 1090.70459 1090.86922 2.30232781e-06
2020-06-23 12:00:02.965757 1090.70349 1090.86694 2.07821044e-06
2020-06-23 12:00:03.029761 1090.70253 1090.86879 2.04927036e-06
2020-06-23 12:00:03.116766 1090.70032 1090.86586 2.05061641e-06
2020-06-23 12:00:03.206771 1090.69988 1090.86676 2.40260855e-06
2020-06-23 12:00:03.279775 1090.70128 1090.86677 2.43693283e-06
2020-06-23 12:00:03.346779 1090.70069 1090.86551 2.58769046e-06
2020-06-23 12:00:03.414783 1090.70305 1090.86478 2.59038256e-06
2020-06-23 12:00:03.497788 1090.70106 1090.86183 2.59105439e-06
2020-06-23 12:00:03.569792 1090.70017 1090.8619 2.56211185e-06
2020-06-23 12:00:03.663797 1090.69936 1090.86404 2.37770121e-06
2020-06-23 12:00:03.742802 1090.69722 1090.86301 2.44433008e-06
2020-06-23 12:00:03.825806 1090.69936 1090.86367 2.30905212e-06
2020-06-23 12:00:03.898811 1090.69848 1090.86404 2.48874972e-06
2020-06-23 12:00:03.967814 1090.70106 1090.86574 2.39519928e-06
2020-06-23 12:00:04.026818 1090.69936 1090.86596 2.32655076e-06
2020-06-23 12:00:04.108823 1090.69612 1090.86426 2.30434094e-06
2020-06-23 12:00:04.188827 1090.69995 1090.86375 2.14079594e-06
2020-06-23 12:00:04.262831 1090.69347 1090.86065 2.44163799e-06
2020-06-23 12:00:04.332835 1090.69339 1090.8608 2.6300849e-06
2020-06-23 12:00:04.409840 1090.6942 1090.86367 2.89727572e-06
2020-06-23 12:00:04.495845 1090.69229 1090.86566 2.90535201e-06
2020-06-23 12:00:04.575849 1090.6998 1090.86809 2.54326472e-06
2020-06-23 12:00:04.655854 1090.70054 1090.86574 2.53047725e-06
2020-06-23 12:00:04.732858 1090.70002 1090.86529 2.55605219e-06
2020-06-23 12:00:04.805862 1090.69803 1090.8647 2.54461077e-06
2020-06-23 12:00:04.879867 1090.69538 1090.86824 2.65633287e-06
2020-06-23 12:00:04.947871 1090.69464 1090.86898 2.54259169e-06
2020-06-23 12:00:05.026875 1090.69354 1090.87001 2.42615842e-06
2020-06-23 12:00:05.099879 1090.69663 1090.86913 2.32116656e-06
2020-06-23 12:00:05.166883 1090.69568 1090.86802 2.32722378e-06
2020-06-23 12:00:05.227887 1090.69575 1090.86544 2.42952354e-06
2020-06-23 12:00:05.298891 1090.69207 1090.86419 2.69334923e-06
2020-06-23 12:00:05.385896 1090.68963 1090.86257 2.78555361e-06
2020-06-23 12:00:05.466900 1090.69052 1090.86492 2.92352368e-06
2020-06-23 12:00:05.545905 1090.69435 1090.8661 2.71623207e-06
2020-06-23 12:00:05.615909 1090.69936 1090.86898 2.76670892e-06
2020-06-23 12:00:05.694913 1090.70209 1090.86544 2.69873323e-06
2020-06-23 12:00:05.775918 1090.70334 1090.86559 2.53518785e-06
2020-06-23 12:00:05.832921 1090.70017 1090.86411 2.49211407e-06
2020-06-23 12:00:05.923926 1090.69973 1090.8633 2.38712202e-06
2020-06-23 12:00:06.003931 1090.69619 1090.86345 2.40663974e-06
2020-06-23 12:00:06.073935 1090.69627 1090.86574 2.4355798e-06
2020-06-23 12:00:06.145939 1090.69885 1090.86662 2.30501301e-06
2020-06-23 12:00:06.216943 1090.69936 1090.86957 2.38981412e-06
2020-06-23 12:00:06.297948 1090.69774 1090.87148 2.37769968e-06
2020-06-23 12:00:06.373952 1090.70039 1090.87244 2.41808116e-06
2020-06-23 12:00:06.457957 1090.70297 1090.87089 2.20069419e-06
2020-06-23 12:00:06.529961 1090.70518 1090.87112 2.2854953e-06
2020-06-23 12:00:06.614966 1090.70651 1090.87112 2.13742988e-06
2020-06-23 12:00:06.689970 1090.70341 1090.87244 2.13877593e-06
2020-06-23 12:00:06.757974 1090.70253 1090.86691 2.16636994e-06
2020-06-23 12:00:06.819978 1090.70157 1090.86588 2.34943264e-06
2020-06-23 12:00:06.928984 1090.70025 1090.86124 2.44904029e-06
2020-06-23 12:00:07.004988 1090.69774 1090.86308 2.41673511e-06
2020-06-23 12:00:07.083993 1090.69951 1090.86581 2.24309475e-06
2020-06-23 12:00:07.185999 1090.69686 1090.86809 2.35952801e-06
2020-06-23 12:00:07.274004 1090.69995 1090.86618 2.40327461e-06
2020-06-23 12:00:07.338007 1090.70091 1090.86588 2.57960707e-06
2020-06-23 12:00:07.421012 1090.7026 1090.86625 2.43221467e-06
2020-06-23 12:00:07.485016 1090.69973 1090.8664 2.40394764e-06
2020-06-23 12:00:07.567020 1090.69833 1090.86846 2.45846263e-06
2020-06-23 12:00:07.634024 1090.69671 1090.8664 2.44904029e-06
2020-06-23 12:00:07.704028 1090.69759 1090.86618 2.63210299e-06
2020-06-23 12:00:07.785033 1090.69951 1090.86323 2.46721195e-06
2020-06-23 12:00:07.864037 1090.70113 1090.86397 2.5513392e-06
2020-06-23 12:00:07.935041 1090.70002 1090.86367 2.38913786e-06
2020-06-23 12:00:08.013046 1090.69899 1090.86588 2.45778396e-06
2020-06-23 12:00:08.084050 1090.70084 1090.86492 2.14146022e-06
2020-06-23 12:00:08.154054 1090.70489 1090.86434 2.12059648e-06
2020-06-23 12:00:08.236059 1090.69995 1090.86124 1.88974921e-06
2020-06-23 12:00:08.308063 1090.70504 1090.85969 2.04454475e-06
2020-06-23 12:00:08.374066 1090.69892 1090.86102 2.34269443e-06
2020-06-23 12:00:08.476072 1090.70356 1090.86212 2.41201591e-06
2020-06-23 12:00:08.545076 1090.6987 1090.86146 2.29221762e-06
2020-06-23 12:00:08.620081 1090.69752 1090.8622 2.34336746e-06
2020-06-23 12:00:08.691085 1090.69892 1090.86146 2.27539202e-06
2020-06-23 12:00:08.778090 1090.6987 1090.86205 2.18386074e-06
2020-06-23 12:00:08.849094 1090.69951 1090.86426 2.19530215e-06
2020-06-23 12:00:08.925098 1090.70032 1090.86382 2.14886349e-06
2020-06-23 12:00:09.004103 1090.69951 1090.86389 2.02502706e-06
2020-06-23 12:00:09.107108 1090.69988 1090.86404 2.00483633e-06
2020-06-23 12:00:09.173112 1090.70069 1090.86507 2.20607054e-06
2020-06-23 12:00:09.235116 1090.70017 1090.86352 2.33125302e-06
2020-06-23 12:00:09.312120 1090.70017 1090.86419 2.29356367e-06
2020-06-23 12:00:09.383124 1090.69898 1090.86655 2.29827484e-06
2020-06-23 12:00:09.480130 1090.69931 1090.86743 2.3810568e-06
2020-06-23 12:00:09.564135 1090.69812 1090.86876 2.43355268e-06
2020-06-23 12:00:09.666140 1090.69715 1090.8664 2.40730474e-06
2020-06-23 12:00:09.734144 1090.69464 1090.86566 2.13540301e-06
2020-06-23 12:00:09.806148 1090.69464 1090.86485 2.13136486e-06
2020-06-23 12:00:09.879153 1090.69707 1090.86551 2.02166193e-06
2020-06-23 12:00:09.951157 1090.69869 1090.86485 2.15290163e-06
2020-06-23 12:00:10.029161 1090.69833 1090.86522 2.34605955e-06
2020-06-23 12:00:10.099165 1090.70201 1090.86328 2.09031039e-06
2020-06-23 12:00:10.176170 1090.70024 1090.86466 2.14549837e-06
2020-06-23 12:00:10.253174 1090.70216 1090.86368 2.15357466e-06
2020-06-23 12:00:10.327178 1090.69869 1090.86588 2.25722037e-06
2020-06-23 12:00:10.406183 1090.70415 1090.86507 2.39855543e-06
2020-06-23 12:00:10.490188 1090.70356 1090.86323 2.57488775e-06
2020-06-23 12:00:10.571192 1090.70768 1090.86603 2.58498311e-06
