Date Time RTDl RTDr Vsamp
2020-06-23 10:52:02.411363 1090.29789 1090.47794 3.14697614e-06
2020-06-23 10:52:02.479367 1090.29745 1090.47816 3.1032295e-06
2020-06-23 10:52:02.534370 1090.297 1090.47823 3.01910134e-06
2020-06-23 10:52:02.618375 1090.29818 1090.47691 3.15370639e-06
2020-06-23 10:52:02.699379 1090.29735 1090.48089 3.07227034e-06
2020-06-23 10:52:02.769383 1090.29687 1090.48155 2.95852907e-06
2020-06-23 10:52:02.846388 1090.29543 1090.47978 2.76402478e-06
2020-06-23 10:52:02.913391 1090.29548 1090.48081 2.80306024e-06
2020-06-23 10:52:03.004397 1090.29658 1090.48037 2.77344713e-06
2020-06-23 10:52:03.087401 1090.29879 1090.48011 2.84074965e-06
2020-06-23 10:52:03.158406 1090.29968 1090.4794 2.97468168e-06
2020-06-23 10:52:03.228410 1090.29769 1090.47936 3.03188882e-06
2020-06-23 10:52:03.294413 1090.29504 1090.47937 3.00631386e-06
2020-06-23 10:52:03.372418 1090.29459 1090.47959 3.01775529e-06
2020-06-23 10:52:03.458423 1090.29496 1090.48099 3.21629774e-06
2020-06-23 10:52:03.534427 1090.29585 1090.4779 3.35763304e-06
2020-06-23 10:52:03.616432 1090.29577 1090.47709 3.22975824e-06
2020-06-23 10:52:03.701437 1090.29585 1090.4779 3.00160269e-06
2020-06-23 10:52:03.778441 1090.29548 1090.48026 2.83065428e-06
2020-06-23 10:52:03.857445 1090.29754 1090.4807 2.87238184e-06
2020-06-23 10:52:03.931450 1090.29739 1090.48247 3.01371696e-06
2020-06-23 10:52:04.007454 1090.29769 1090.47989 3.2337955e-06
2020-06-23 10:52:04.089459 1090.29828 1090.48033 3.1355333e-06
2020-06-23 10:52:04.163463 1090.2971 1090.47922 3.05073179e-06
2020-06-23 10:52:04.241467 1090.29901 1090.47797 3.02919498e-06
2020-06-23 10:52:04.292470 1090.29658 1090.48121 2.87776433e-06
2020-06-23 10:52:04.369475 1090.29666 1090.4804 2.94237474e-06
2020-06-23 10:52:04.435479 1090.29791 1090.48018 2.97400692e-06
2020-06-23 10:52:04.515483 1090.29916 1090.47974 2.95583524e-06
2020-06-23 10:52:04.577487 1090.30041 1090.47871 3.07899884e-06
2020-06-23 10:52:04.660491 1090.30064 1090.47864 3.10053565e-06
2020-06-23 10:52:04.729495 1090.2999 1090.47642 3.00362003e-06
2020-06-23 10:52:04.806500 1090.29872 1090.4793 2.98073717e-06
2020-06-23 10:52:04.881504 1090.29651 1090.47996 3.01640751e-06
2020-06-23 10:52:04.960509 1090.29563 1090.48055 3.04130944e-06
2020-06-23 10:52:05.036513 1090.29882 1090.48365 3.02515683e-06
2020-06-23 10:52:05.112517 1090.29842 1090.48033 2.91949189e-06
2020-06-23 10:52:05.188522 1090.29766 1090.48063 3.02515683e-06
2020-06-23 10:52:05.254525 1090.29629 1090.47915 3.07765279e-06
2020-06-23 10:52:05.334530 1090.29555 1090.47945 3.02044566e-06
2020-06-23 10:52:05.387533 1090.29776 1090.47995 3.03256011e-06
2020-06-23 10:52:05.471538 1090.29629 1090.47861 2.91141559e-06
